曲线名称	日期	3月	6月	1年	3年	5年	7年	10年	30年
中债商业银行普通债收益率曲线(AAA)	2015-11-03	2.8611	3.1313	3.2025	3.3803	3.5818	3.8013	3.9326	4.4665
中债中短期票据收益率曲线(AAA)	2015-11-03	2.8022	3.0548	3.0850	3.4523	3.7296	3.9494	4.0596
中债国债收益率曲线	2015-11-02	2.3254	2.3774	2.4032	2.7159	2.9032	3.0550	3.0525	3.7512
中债商业银行普通债收益率曲线(AAA)	2015-11-02	2.8867	3.1790	3.2168	3.3848	3.5715	3.7691	3.9323	4.4662
中债中短期票据收益率曲线(AAA)	2015-11-02	2.8428	3.0607	3.0593	3.4204	3.7193	3.9272	4.0690
中债国债收益率曲线	2015-10-30	2.3564	2.3866	2.3513	2.7381	2.9112	3.0573	3.0600	3.7587
中债商业银行普通债收益率曲线(AAA)	2015-10-30	2.9240	3.1762	3.2424	3.3587	3.5452	3.7439	3.9216	4.4555
中债中短期票据收益率曲线(AAA)	2015-10-30	2.9839	3.0412	3.0549	3.4473	3.7177	3.9020	4.0743
中债国债收益率曲线	2015-10-29	2.3414	2.3655	2.3683	2.7158	2.8915	3.0501	3.0500	3.7487
中债商业银行普通债收益率曲线(AAA)	2015-10-29	2.9015	3.1761	3.2160	3.3146	3.5458	3.7585	3.9103	4.4442
中债中短期票据收益率曲线(AAA)	2015-10-29	2.9505	3.0595	3.0285	3.4132	3.6941	3.9182	4.0800
中债国债收益率曲线	2015-10-28	2.3628	2.3280	2.3698	2.7247	2.8215	2.9949	2.9870	3.7288
中债商业银行普通债收益率曲线(AAA)	2015-10-28	2.9400	3.2073	3.2680	3.3324	3.5836	3.7981	3.9220	4.4559
中债中短期票据收益率曲线(AAA)	2015-10-28	2.9571	3.0630	3.0505	3.4480	3.7165	3.9303	4.1052
中债国债收益率曲线	2015-10-27	2.3880	2.3547	2.3748	2.7139	2.8112	2.9772	2.9800	3.7218
中债商业银行普通债收益率曲线(AAA)	2015-10-27	2.9334	3.2539	3.2925	3.3856	3.6551	3.8440	3.9595	4.4934
中债中短期票据收益率曲线(AAA)	2015-10-27	2.9730	3.0725	3.1050	3.5012	3.7780	4.0076	4.1655
中债国债收益率曲线	2015-10-26	2.3708	2.3764	2.4237	2.7533	2.8562	3.0156	3.0200	3.7618
中债商业银行普通债收益率曲线(AAA)	2015-10-26	3.0149	3.2571	3.3311	3.4169	3.6902	3.8824	4.0012	4.5351
中债中短期票据收益率曲线(AAA)	2015-10-26	2.9925	3.0876	3.1436	3.5048	3.8280	4.0595	4.2109
中债国债收益率曲线	2015-10-23	2.3516	2.3636	2.4454	2.7779	2.8865	3.0598	3.0400	3.7817
中债商业银行普通债收益率曲线(AAA)	2015-10-23	3.0398	3.2960	3.3611	3.4746	3.7763	3.9428	4.0564	4.5903
中债中短期票据收益率曲线(AAA)	2015-10-23	2.9864	3.1640	3.2236	3.5625	3.8920	4.1108	4.2661
中债国债收益率曲线	2015-10-22	2.3537	2.3722	2.4234	2.7827	2.8962	3.0744	3.0516	3.7613
中债商业银行普通债收益率曲线(AAA)	2015-10-22	3.0212	3.2951	3.3561	3.4860	3.7871	3.9577	4.0754	4.6093
中债中短期票据收益率曲线(AAA)	2015-10-22	2.9469	3.1549	3.2236	3.5939	3.9117	4.1360	4.2614
中债国债收益率曲线	2015-10-21	2.3516	2.3550	2.4273	2.7872	2.9087	3.0698	3.0616	3.7613
中债商业银行普通债收益率曲线(AAA)	2015-10-21	3.0164	3.2953	3.3684	3.5013	3.7672	3.9577	4.0857	4.6196
中债中短期票据收益率曲线(AAA)	2015-10-21	2.9602	3.1604	3.2060	3.6176	3.8918	4.1420	4.2717
中债国债收益率曲线	2015-10-20	2.3580	2.3548	2.4255	2.7920	2.9058	3.0796	3.0615	3.7612
中债商业银行普通债收益率曲线(AAA)	2015-10-20	3.0164	3.2953	3.3996	3.5365	3.8027	3.9777	4.0980	4.6319
中债中短期票据收益率曲线(AAA)	2015-10-20	2.9662	3.1304	3.1796	3.6528	3.9240	4.1609	4.2840
中债国债收益率曲线	2015-10-19	2.3513	2.3547	2.4286	2.8122	2.9676	3.1372	3.1214	3.8057
中债商业银行普通债收益率曲线(AAA)	2015-10-19	3.0204	3.3395	3.3996	3.5731	3.8170	4.0185	4.1092	4.6431
中债中短期票据收益率曲线(AAA)	2015-10-19	2.9508	3.1301	3.1940	3.6867	3.9238	4.2019	4.2925
中债国债收益率曲线	2015-10-16	2.3425	2.4023	2.4320	2.8315	2.9660	3.1446	3.1216	3.8557
中债商业银行普通债收益率曲线(AAA)	2015-10-16	3.0297	3.3784	3.3914	3.5747	3.8103	4.0267	4.1160	4.6499
中债中短期票据收益率曲线(AAA)	2015-10-16	2.9532	3.1746	3.1858	3.6883	3.9171	4.2085	4.2993
中债国债收益率曲线	2015-10-15	2.3395	2.3249	2.4190	2.7751	2.9059	3.1143	3.0814	3.8155
中债商业银行普通债收益率曲线(AAA)	2015-10-15	3.0045	3.3784	3.4005	3.5860	3.7911	4.0117	4.1200	4.6539
中债中短期票据收益率曲线(AAA)	2015-10-15	2.9501	3.1710	3.1949	3.7050	3.9060	4.1974	4.3033
中债国债收益率曲线	2015-10-14	2.3474	2.3395	2.4084	2.8037	2.8729	3.0548	3.0414	3.8125
中债商业银行普通债收益率曲线(AAA)	2015-10-14	3.0009	3.3622	3.3755	3.6152	3.7586	3.9841	4.1434	4.6723
中债中短期票据收益率曲线(AAA)	2015-10-14	2.9481	3.1929	3.2241	3.7197	3.9080	4.1698	4.3235
中债国债收益率曲线	2015-10-13	2.2753	2.3393	2.4186	2.8297	2.9237	3.1246	3.1064	3.8720
中债商业银行普通债收益率曲线(AAA)	2015-10-13	2.9769	3.3565	3.3355	3.6778	3.8279	4.0679	4.2103	4.7395
中债中短期票据收益率曲线(AAA)	2015-10-13	2.9703	3.2114	3.2141	3.7495	3.9687	4.2215	4.3637
中债国债收益率曲线	2015-10-12	2.2553	2.3199	2.4269	2.8497	2.9641	3.1598	3.1488	3.8581
中债商业银行普通债收益率曲线(AAA)	2015-10-12	2.9529	3.3493	3.3723	3.7109	3.8750	4.1066	4.2403	4.7795
中债中短期票据收益率曲线(AAA)	2015-10-12	3.0057	3.2066	3.2588	3.7705	3.9885	4.2557	4.3933
中债国债收益率曲线	2015-10-10	2.2348	2.2826	2.4116	2.8389	2.9538	3.1539	3.1612	3.8381
中债商业银行普通债收益率曲线(AAA)	2015-10-10	2.9578	3.3912	3.3848	3.7178	3.8777	4.1218	4.2603	4.7995
中债中短期票据收益率曲线(AAA)	2015-10-10	3.0110	3.2122	3.2610	3.7774	3.9912	4.2709	4.4107
中债国债收益率曲线	2015-10-09	2.2259	2.2916	2.4091	2.8535	2.9739	3.1794	3.1486	3.8256
中债商业银行普通债收益率曲线(AAA)	2015-10-09	2.9578	3.3878	3.3584	3.7329	3.8942	4.1412	4.2650	4.8063
中债中短期票据收益率曲线(AAA)	2015-10-09	3.0073	3.2120	3.2373	3.7730	4.0077	4.2904	4.4175
中债国债收益率曲线	2015-10-08	2.1806	2.3177	2.4031	2.9041	3.0433	3.2474	3.2409	3.8756
中债商业银行普通债收益率曲线(AAA)	2015-10-08	2.9473	3.3906	3.3727	3.7540	3.9221	4.1250	4.2768	4.8182
中债中短期票据收益率曲线(AAA)	2015-10-08	3.0328	3.2063	3.2516	3.7687	4.0356	4.2742	4.4293
中债国债收益率曲线	2015-09-30	2.2139	2.3299	2.3919	2.9183	3.0529	3.2598	3.2362	3.8709
中债商业银行普通债收益率曲线(AAA)	2015-09-30	2.9521	3.4017	3.4067	3.7357	3.9334	4.1442	4.2975	4.8298
中债中短期票据收益率曲线(AAA)	2015-09-30	3.0487	3.2866	3.2856	3.7504	4.0469	4.2803	4.4307
中债国债收益率曲线	2015-09-29	2.1939	2.3193	2.3890	2.9483	3.0574	3.2696	3.2457	3.8804
中债商业银行普通债收益率曲线(AAA)	2015-09-29	2.9535	3.3847	3.4167	3.7377	3.9325	4.1405	4.2961	4.8284
中债中短期票据收益率曲线(AAA)	2015-09-29	2.9805	3.2310	3.2956	3.7564	4.0460	4.2766	4.4293
中债国债收益率曲线	2015-09-28	2.2420	2.3294	2.4032	2.9605	3.0929	3.3048	3.2906	3.8574
中债商业银行普通债收益率曲线(AAA)	2015-09-28	2.9462	3.3862	3.4103	3.7730	3.9600	4.1405	4.3310	4.8633
中债中短期票据收益率曲线(AAA)	2015-09-28	2.9870	3.2572	3.2892	3.7879	4.0707	4.3057	4.4644
中债国债收益率曲线	2015-09-25	2.2533	2.3423	2.3625	2.9772	3.1226	3.3248	3.3101	3.8769
中债商业银行普通债收益率曲线(AAA)	2015-09-25	2.9635	3.4019	3.4194	3.7696	3.9594	4.1236	4.3164	4.8487
中债中短期票据收益率曲线(AAA)	2015-09-25	3.0704	3.1923	3.3037	3.8087	4.0701	4.2938	4.4497
中债国债收益率曲线	2015-09-24	2.2641	2.3193	2.2893	2.9981	3.1320	3.3271	3.3180	3.8715
中债商业银行普通债收益率曲线(AAA)	2015-09-24	2.9510	3.4277	3.4407	3.7760	3.9710	4.1136	4.3164	4.8487
中债中短期票据收益率曲线(AAA)	2015-09-24	3.0735	3.2786	3.3016	3.8189	4.0817	4.3120	4.4497
中债国债收益率曲线	2015-09-23	2.2525	2.3095	2.3086	3.0098	3.1507	3.3399	3.3354	3.8612
中债商业银行普通债收益率曲线(AAA)	2015-09-23	2.9073	3.4052	3.4337	3.7699	3.9667	4.1308	4.3164	4.8487
中债中短期票据收益率曲线(AAA)	2015-09-23	3.0228	3.2529	3.3000	3.8080	4.0905	4.3317	4.4497
中债国债收益率曲线	2015-09-22	2.2492	2.3039	2.3078	2.9815	3.1548	3.3299	3.3255	3.8488
中债商业银行普通债收益率曲线(AAA)	2015-09-22	2.9206	3.4302	3.4345	3.7619	3.9773	4.1486	4.3164	4.8487
中债中短期票据收益率曲线(AAA)	2015-09-22	2.9731	3.2759	3.3008	3.8216	4.0639	4.3218	4.4520
中债国债收益率曲线	2015-09-21	2.2646	2.3295	2.3271	2.9905	3.1419	3.3249	3.3204	3.8178
中债商业银行普通债收益率曲线(AAA)	2015-09-21	2.8948	3.3689	3.4137	3.7567	3.9644	4.1493	4.3164	4.8487
中债中短期票据收益率曲线(AAA)	2015-09-21	2.9714	3.2334	3.2800	3.8111	4.0511	4.3221	4.4520
中债国债收益率曲线	2015-09-18	2.2270	2.3196	2.3292	2.9739	3.1467	3.3297	3.3105	3.7828
中债商业银行普通债收益率曲线(AAA)	2015-09-18	2.8935	3.3769	3.4131	3.7474	3.9786	4.1894	4.3148	4.8471
中债中短期票据收益率曲线(AAA)	2015-09-18	2.9682	3.2333	3.2794	3.8018	4.0652	4.3120	4.4504
中债国债收益率曲线	2015-09-17	2.1970	2.2507	2.3062	2.9822	3.1666	3.3200	3.3204	3.7970
中债商业银行普通债收益率曲线(AAA)	2015-09-17	2.8839	3.3769	3.3948	3.7391	3.9927	4.1961	4.3145	4.8468
中债中短期票据收益率曲线(AAA)	2015-09-17	2.9354	3.2250	3.2618	3.7935	4.0793	4.3187	4.4501
中债国债收益率曲线	2015-09-16	2.1671	2.2597	2.3330	2.9681	3.1413	3.3248	3.3103	3.8120
中债商业银行普通债收益率曲线(AAA)	2015-09-16	2.8746	3.3769	3.3945	3.7443	3.9864	4.2193	4.3145	4.8468
中债中短期票据收益率曲线(AAA)	2015-09-16	2.9421	3.1989	3.2615	3.8270	4.1026	4.3419	4.4501
中债国债收益率曲线	2015-09-15	2.1769	2.2728	2.3261	2.9683	3.1562	3.3149	3.3104	3.7820
中债商业银行普通债收益率曲线(AAA)	2015-09-15	2.8311	3.3482	3.3779	3.7543	3.9964	4.2546	4.3402	4.8725
中债中短期票据收益率曲线(AAA)	2015-09-15	2.9507	3.2102	3.2449	3.8296	4.1178	4.3772	4.4758
中债国债收益率曲线	2015-09-14	2.1707	2.2957	2.2862	2.9708	3.1718	3.3448	3.3303	3.8010
中债商业银行普通债收益率曲线(AAA)	2015-09-14	2.8511	3.3518	3.3852	3.7543	4.0164	4.2846	4.3202	4.8725
中债中短期票据收益率曲线(AAA)	2015-09-14	2.9383	3.2112	3.2522	3.8347	4.1078	4.4072	4.4558
中债国债收益率曲线	2015-09-11	2.2194	2.3266	2.2543	2.9765	3.1918	3.3400	3.3404	3.8111
中债商业银行普通债收益率曲线(AAA)	2015-09-11	2.8094	3.3518	3.3621	3.7496	4.0114	4.2828	4.3202	4.8725
中债中短期票据收益率曲线(AAA)	2015-09-11	2.9452	3.2085	3.2291	3.8400	4.1072	4.4054	4.4558
中债国债收益率曲线	2015-09-10	2.2078	2.2996	2.2546	2.9938	3.1901	3.3549	3.3453	3.8160
中债商业银行普通债收益率曲线(AAA)	2015-09-10	2.7974	3.3433	3.3690	3.7504	4.0033	4.2678	4.3202	4.8725
中债中短期票据收益率曲线(AAA)	2015-09-10	2.9571	3.2000	3.2360	3.8436	4.0991	4.3904	4.4558
中债国债收益率曲线	2015-09-09	2.2068	2.3059	2.2543	2.9902	3.1843	3.3457	3.3478	3.8185
中债商业银行普通债收益率曲线(AAA)	2015-09-09	2.8255	3.3327	3.3388	3.7620	3.9726	4.2278	4.3219	4.8525
中债中短期票据收益率曲线(AAA)	2015-09-09	3.0022	3.1894	3.2058	3.8321	4.0683	4.3503	4.4358
中债国债收益率曲线	2015-09-08	2.2482	2.3008	2.2737	2.9774	3.1763	3.3564	3.3603	3.8310
中债商业银行普通债收益率曲线(AAA)	2015-09-08	2.8552	3.3258	3.3461	3.7571	3.9431	4.1778	4.2826	4.8325
中债中短期票据收益率曲线(AAA)	2015-09-08	3.0319	3.1825	3.2131	3.8272	4.0489	4.3003	4.3965
中债国债收益率曲线	2015-09-07	2.2133	2.2916	2.2643	2.9659	3.1924	3.3499	3.3353	3.8517
中债商业银行普通债收益率曲线(AAA)	2015-09-07	2.8936	3.3040	3.3355	3.7590	3.9231	4.1683	4.2826	4.8182
中债中短期票据收益率曲线(AAA)	2015-09-07	3.0587	3.2107	3.2393	3.8291	4.0508	4.2908	4.3865
中债国债收益率曲线	2015-09-06	2.1862	2.2766	2.2540	2.9405	3.1459	3.3249	3.3203	3.8214
中债商业银行普通债收益率曲线(AAA)	2015-09-06	2.8570	3.3163	3.3104	3.7332	3.9295	4.1448	4.2726	4.7823
中债中短期票据收益率曲线(AAA)	2015-09-06	3.0421	3.2630	3.2518	3.8208	4.0338	4.2673	4.3765
中债国债收益率曲线	2015-09-02	2.2434	2.2497	2.2586	2.9493	3.1428	3.3149	3.3002	3.8014
中债商业银行普通债收益率曲线(AAA)	2015-09-02	2.9170	3.3163	3.3185	3.7336	3.9508	4.1503	4.2836	4.7823
中债中短期票据收益率曲线(AAA)	2015-09-02	3.0373	3.2865	3.2699	3.8210	4.0551	4.2728	4.3875
中债国债收益率曲线	2015-09-01	2.2549	2.2829	2.2628	2.9348	3.1178	3.3149	3.3002	3.8014
中债商业银行普通债收益率曲线(AAA)	2015-09-01	2.9270	3.3070	3.3085	3.7430	3.9805	4.1602	4.2837	4.7824
中债中短期票据收益率曲线(AAA)	2015-09-01	3.0335	3.2597	3.2599	3.8305	4.0798	4.2827	4.3876
中债国债收益率曲线	2015-08-31	2.2608	2.3000	2.2519	2.9311	3.1345	3.3300	3.3252	3.8074
中债商业银行普通债收益率曲线(AAA)	2015-08-31	2.9349	3.3070	3.3053	3.7699	4.0106	4.1583	4.2952	4.7939
中债中短期票据收益率曲线(AAA)	2015-08-31	3.0028	3.2415	3.2665	3.8574	4.1099	4.2660	4.3991
中债国债收益率曲线	2015-08-28	2.2495	2.2628	2.2735	2.9202	3.1634	3.3762	3.3803	3.8625
中债商业银行普通债收益率曲线(AAA)	2015-08-28	2.9675	3.3195	3.3156	3.7699	4.0507	4.1984	4.3112	4.7910
中债中短期票据收益率曲线(AAA)	2015-08-28	3.0754	3.2731	3.2768	3.8326	4.1500	4.3061	4.4151
中债国债收益率曲线	2015-08-27	2.2737	2.2810	2.2661	2.9256	3.1689	3.3999	3.3902	3.8724
中债商业银行普通债收益率曲线(AAA)	2015-08-27	2.9296	3.2705	3.2864	3.7648	4.0403	4.1984	4.3227	4.8025
中债中短期票据收益率曲线(AAA)	2015-08-27	3.0171	3.2457	3.2500	3.8226	4.1453	4.3286	4.4266
中债国债收益率曲线	2015-08-26	2.2537	2.2598	2.2657	2.9234	3.1924	3.4548	3.4290	3.9112
中债商业银行普通债收益率曲线(AAA)	2015-08-26	2.8962	3.2564	3.2873	3.7581	4.0350	4.1863	4.3509	4.8247
中债中短期票据收益率曲线(AAA)	2015-08-26	2.9837	3.2316	3.2509	3.8159	4.1402	4.3165	4.4488
中债国债收益率曲线	2015-08-25	2.2337	2.2469	2.2800	2.9376	3.2020	3.4788	3.4577	3.9278
中债商业银行普通债收益率曲线(AAA)	2015-08-25	2.9354	3.2564	3.3118	3.7318	3.9822	4.2042	4.3509	4.8247
中债中短期票据收益率曲线(AAA)	2015-08-25	3.0229	3.2489	3.2754	3.7896	4.1022	4.3344	4.4488
中债国债收益率曲线	2015-08-24	2.2111	2.2470	2.2807	2.9325	3.2399	3.4898	3.4701	3.9402
中债商业银行普通债收益率曲线(AAA)	2015-08-24	2.8709	3.2063	3.2618	3.7318	4.0182	4.2168	4.3874	4.8408
中债中短期票据收益率曲线(AAA)	2015-08-24	2.9084	3.1713	3.2254	3.7922	4.1382	4.3570	4.4853
中债国债收益率曲线	2015-08-21	2.2524	2.2521	2.2608	2.9132	3.2463	3.5048	3.4951	3.9651
中债商业银行普通债收益率曲线(AAA)	2015-08-21	2.9019	3.2123	3.2978	3.7330	4.0233	4.2453	4.3874	4.8408
中债中短期票据收益率曲线(AAA)	2015-08-21	2.9394	3.1707	3.2614	3.7934	4.1482	4.3570	4.4853
中债国债收益率曲线	2015-08-20	2.2996	2.2695	2.2608	2.9211	3.2723	3.5199	3.5051	3.9751
中债商业银行普通债收益率曲线(AAA)	2015-08-20	2.8978	3.1684	3.2982	3.7268	4.0445	4.2714	4.3874	4.8408
中债中短期票据收益率曲线(AAA)	2015-08-20	2.9167	3.1209	3.2766	3.8142	4.1622	4.3831	4.4753
中债国债收益率曲线	2015-08-19	2.2509	2.2651	2.2571	2.9263	3.2705	3.5119	3.5201	3.9573
中债商业银行普通债收益率曲线(AAA)	2015-08-19	2.9133	3.1419	3.2483	3.7268	4.0479	4.2731	4.3874	4.8408
中债中短期票据收益率曲线(AAA)	2015-08-19	2.8873	3.1025	3.2202	3.8260	4.1622	4.3849	4.4653
中债国债收益率曲线	2015-08-18	2.2395	2.2596	2.2621	2.9249	3.2623	3.5104	3.5126	3.9498
中债商业银行普通债收益率曲线(AAA)	2015-08-18	2.9262	3.1440	3.2075	3.7563	4.0455	4.2799	4.4033	4.9008
中债中短期票据收益率曲线(AAA)	2015-08-18	2.8357	3.0695	3.1794	3.8555	4.1741	4.3916	4.4812
中债国债收益率曲线	2015-08-17	2.2509	2.2579	2.2466	2.9324	3.2521	3.5033	3.5176	3.9546
中债商业银行普通债收益率曲线(AAA)	2015-08-17	2.9826	3.1682	3.1694	3.7173	4.0585	4.2551	4.3763	4.9038
中债中短期票据收益率曲线(AAA)	2015-08-17	2.8421	3.0635	3.1413	3.8164	4.1763	4.3966	4.5112
中债国债收益率曲线	2015-08-14	2.2023	2.2449	2.3273	2.9117	3.2558	3.4883	3.5052	3.9421
中债商业银行普通债收益率曲线(AAA)	2015-08-14	2.8954	3.1272	3.1596	3.7427	4.0590	4.2696	4.3733	4.9008
中债中短期票据收益率曲线(AAA)	2015-08-14	2.7849	2.9796	3.1315	3.8321	4.1816	4.3927	4.5182
中债国债收益率曲线	2015-08-13	2.2484	2.2690	2.2883	2.9397	3.2649	3.4856	3.5153	3.9522
中债商业银行普通债收益率曲线(AAA)	2015-08-13	2.8749	3.1596	3.1599	3.7018	4.0463	4.2634	4.3736	4.9011
中债中短期票据收益率曲线(AAA)	2015-08-13	2.8008	3.0492	3.1857	3.7911	4.1578	4.3904	4.5185
中债国债收益率曲线	2015-08-12	2.2191	2.2373	2.3181	2.9635	3.2661	3.5191	3.5402	3.9771
中债商业银行普通债收益率曲线(AAA)	2015-08-12	2.8054	3.1280	3.1842	3.7022	4.0209	4.2490	4.3702	4.8977
中债中短期票据收益率曲线(AAA)	2015-08-12	2.7074	3.0589	3.2000	3.7915	4.1388	4.3760	4.5151
中债国债收益率曲线	2015-08-11	2.2377	2.2011	2.2433	2.9594	3.2516	3.5040	3.5256	3.9625
中债商业银行普通债收益率曲线(AAA)	2015-08-11	2.6983	3.0207	3.0643	3.7052	4.0110	4.2390	4.3338	4.8613
中债中短期票据收益率曲线(AAA)	2015-08-11	2.6003	2.9538	3.1017	3.7946	4.1288	4.3660	4.4787
中债国债收益率曲线	2015-08-10	2.1567	2.1640	2.1843	2.8876	3.1799	3.4224	3.4755	3.9544
中债商业银行普通债收益率曲线(AAA)	2015-08-10	2.6719	3.0348	2.9447	3.5934	3.9257	4.1866	4.3292	4.8567
中债中短期票据收益率曲线(AAA)	2015-08-10	2.5739	2.9660	2.9809	3.6973	4.0435	4.3136	4.4741
中债国债收益率曲线	2015-08-07	2.0865	2.2014	2.1753	2.8891	3.1633	3.4204	3.4553	3.9342
中债商业银行普通债收益率曲线(AAA)	2015-08-07	2.6498	3.0301	2.9247	3.6352	3.9602	4.2288	4.3791	4.8867
中债中短期票据收益率曲线(AAA)	2015-08-07	2.5739	2.9406	3.0013	3.7391	4.0780	4.3558	4.5240
中债国债收益率曲线	2015-08-06	2.1665	2.2261	2.2073	2.8867	3.1646	3.4599	3.4600	3.9391
中债商业银行普通债收益率曲线(AAA)	2015-08-06	2.6954	3.0020	2.9738	3.6664	3.9680	4.2507	4.3998	4.9406
中债中短期票据收益率曲线(AAA)	2015-08-06	2.6195	2.9613	3.0504	3.7740	4.1043	4.3777	4.5447
中债国债收益率曲线	2015-08-05	2.1469	2.2633	2.2428	2.8852	3.2030	3.4614	3.4701	3.9491
中债商业银行普通债收益率曲线(AAA)	2015-08-05	2.6970	3.0033	2.9987	3.6903	3.9990	4.2614	4.3998	4.9406
中债中短期票据收益率曲线(AAA)	2015-08-05	2.6611	2.9926	3.0899	3.7890	4.1158	4.3984	4.5447
中债国债收益率曲线	2015-08-04	2.1743	2.2774	2.3254	2.8777	3.1981	3.4613	3.4700	3.9453
中债商业银行普通债收益率曲线(AAA)	2015-08-04	2.6247	2.9543	3.0053	3.6754	3.9985	4.2601	4.3977	4.9385
中债中短期票据收益率曲线(AAA)	2015-08-04	2.6888	3.0548	3.0933	3.7788	4.1152	4.3971	4.5426
中债国债收益率曲线	2015-08-03	2.2003	2.2314	2.3038	2.8888	3.2048	3.4613	3.4700	3.9329
中债商业银行普通债收益率曲线(AAA)	2015-08-03	2.6980	3.0174	3.0003	3.6813	3.9792	4.2601	4.3899	4.9307
中债中短期票据收益率曲线(AAA)	2015-08-03	2.7620	3.1063	3.0883	3.7847	4.1059	4.3971	4.5348
中债国债收益率曲线	2015-07-31	2.2120	2.2373	2.2530	2.8712	3.1798	3.4468	3.4752	3.9381
中债商业银行普通债收益率曲线(AAA)	2015-07-31	2.7420	3.0485	3.0479	3.6779	3.9792	4.2597	4.3558	4.8966
中债中短期票据收益率曲线(AAA)	2015-07-31	2.8060	3.1035	3.1040	3.7713	4.1167	4.3967	4.5007
中债国债收益率曲线	2015-07-30	2.1810	2.2423	2.2318	2.8682	3.1617	3.3945	3.4402	3.9031
中债商业银行普通债收益率曲线(AAA)	2015-07-30	2.7070	3.0040	2.9973	3.6615	3.9591	4.2539	4.3571	4.8979
中债中短期票据收益率曲线(AAA)	2015-07-30	2.7710	3.1221	3.1066	3.7676	4.1066	4.3909	4.5020
中债国债收益率曲线	2015-07-29	2.1522	2.1964	2.2388	2.8202	3.1553	3.3938	3.4302	3.8931
中债商业银行普通债收益率曲线(AAA)	2015-07-29	2.7432	3.0056	2.9673	3.6615	3.9975	4.2565	4.3618	4.9026
中债中短期票据收益率曲线(AAA)	2015-07-29	2.8717	3.1237	3.0666	3.7676	4.1067	4.3934	4.5067
中债国债收益率曲线	2015-07-28	2.1022	2.2482	2.2617	2.8654	3.1501	3.4078	3.4401	3.9031
中债商业银行普通债收益率曲线(AAA)	2015-07-28	2.6754	2.9846	3.0211	3.6899	4.0125	4.2916	4.4105	4.9513
中债中短期票据收益率曲线(AAA)	2015-07-28	2.7783	3.1008	3.1204	3.8060	4.1217	4.4285	4.5554
中债国债收益率曲线	2015-07-27	2.0589	2.2475	2.3113	2.8309	3.1596	3.4093	3.4602	3.9231
中债商业银行普通债收益率曲线(AAA)	2015-07-27	2.7471	2.9101	3.0034	3.7197	4.0225	4.3268	4.4399	4.9807
中债中短期票据收益率曲线(AAA)	2015-07-27	2.8448	3.0150	3.1026	3.8357	4.1317	4.4639	4.5848
中债国债收益率曲线	2015-07-24	2.1189	2.2701	2.3360	2.8378	3.1576	3.3986	3.4602	3.9231
中债商业银行普通债收益率曲线(AAA)	2015-07-24	2.7048	2.8942	2.9249	3.6827	4.0034	4.2980	4.4213	4.9621
中债中短期票据收益率曲线(AAA)	2015-07-24	2.8011	3.0072	3.0241	3.7988	4.0986	4.4350	4.5662
中债国债收益率曲线	2015-07-23	2.1183	2.3538	2.3335	2.8373	3.1658	3.4284	3.4751	3.9593
中债商业银行普通债收益率曲线(AAA)	2015-07-23	2.7750	2.9343	3.0048	3.7009	4.0469	4.3080	4.4276	4.9684
中债中短期票据收益率曲线(AAA)	2015-07-23	2.8608	3.0218	3.1026	3.8169	4.1541	4.4450	4.5725
中债国债收益率曲线	2015-07-22	2.2183	2.3940	2.4071	2.8485	3.1586	3.4825	3.5145	3.9615
中债商业银行普通债收益率曲线(AAA)	2015-07-22	2.7550	3.0289	3.0848	3.7260	4.0669	4.3080	4.4498	4.9906
中债中短期票据收益率曲线(AAA)	2015-07-22	2.8468	3.1228	3.1826	3.8340	4.2041	4.4641	4.5947
中债国债收益率曲线	2015-07-21	2.3273	2.4064	2.4417	2.8201	3.1765	3.4773	3.5214	3.9684
中债商业银行普通债收益率曲线(AAA)	2015-07-21	2.8632	3.0526	3.1134	3.7357	4.0673	4.3303	4.4846	5.0255
中债中短期票据收益率曲线(AAA)	2015-07-21	2.9550	3.1551	3.2201	3.8540	4.2201	4.4864	4.6295
中债国债收益率曲线	2015-07-20	2.3387	2.4238	2.4583	2.8503	3.1573	3.4623	3.5009	3.9479
中债商业银行普通债收益率曲线(AAA)	2015-07-20	2.9368	3.0549	3.1045	3.7195	4.0596	4.3276	4.4649	5.0158
中债中短期票据收益率曲线(AAA)	2015-07-20	3.0286	3.1484	3.2394	3.8569	4.2133	4.4837	4.6098
中债国债收益率曲线	2015-07-17	2.3894	2.4315	2.4501	2.8487	3.1563	3.4706	3.5123	3.9364
中债商业银行普通债收益率曲线(AAA)	2015-07-17	2.9899	3.0754	3.1134	3.7232	4.0788	4.3364	4.4598	5.0207
中债中短期票据收益率曲线(AAA)	2015-07-17	3.1118	3.1611	3.2483	3.8606	4.2325	4.4925	4.6047
中债国债收益率曲线	2015-07-16	2.3767	2.4039	2.4471	2.8485	3.1569	3.4962	3.5208	3.9566
中债商业银行普通债收益率曲线(AAA)	2015-07-16	2.9899	3.0515	3.1024	3.7111	4.0551	4.3305	4.4883	5.0592
中债中短期票据收益率曲线(AAA)	2015-07-16	3.1435	3.1403	3.2373	3.8484	4.2338	4.4866	4.6333
中债国债收益率曲线	2015-07-15	2.3352	2.4038	2.4368	2.8486	3.1715	3.5098	3.5495	3.9769
中债商业银行普通债收益率曲线(AAA)	2015-07-15	3.0544	3.0857	3.1024	3.7172	4.0770	4.3257	4.4988	5.0796
中债中短期票据收益率曲线(AAA)	2015-07-15	3.1316	3.1603	3.2585	3.8514	4.2361	4.4818	4.6437
