日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2010-01-04     1.1430      1.1490      1.1650      1.5368      1.4811      1.4733      1.7445      1.7717      1.6638      1.7915      1.7774      1.7537      1.8316      1.8283      1.8217      1.9095      1.9075      1.9047      2.0598      2.0575      2.0543      2.2502      2.2499      2.2473      
2010-01-05     1.1354      1.1444      1.1603      1.5095      1.4766      1.4689      1.7028      1.7517      1.6686      1.7844      1.7788      1.7555      1.8314      1.8293      1.8227      1.9100      1.9083      1.9052      2.0600      2.0581      2.0549      2.2502      2.2500      2.2478      
2010-01-06     1.1293      1.1409      1.1559      1.4738      1.4719      1.4660      1.6569      1.7291      1.6722      1.7751      1.7789      1.7567      1.8308      1.8300      1.8236      1.9105      1.9090      1.9058      2.0600      2.0588      2.0554      2.2502      2.2501      2.2483      
2010-01-07     1.1154      1.1334      1.1501      1.4365      1.4704      1.4619      1.6032      1.7002      1.6703      1.7642      1.7769      1.7575      1.8308      1.8306      1.8246      1.9116      1.9100      1.9066      2.0607      2.0596      2.0561      2.2511      2.2506      2.2489      
2010-01-08     1.0983      1.1239      1.1437      1.4033      1.4714      1.4590      1.5589      1.6685      1.6661      1.7546      1.7744      1.7585      1.8318      1.8314      1.8257      1.9137      1.9114      1.9075      2.0623      2.0608      2.0570      2.2530      2.2516      2.2498      
2010-01-11     1.0842      1.1136      1.1373      1.3927      1.4648      1.4532      1.5102      1.6274      1.6594      1.7480      1.7698      1.7590      1.8336      1.8326      1.8270      1.9163      1.9129      1.9086      2.0646      2.0622      2.0580      2.2555      2.2529      2.2507      
2010-01-12     1.0679      1.1017      1.1303      1.3997      1.4546      1.4512      1.4756      1.5892      1.6534      1.7443      1.7643      1.7594      1.8364      1.8339      1.8284      1.9197      1.9149      1.9098      2.0682      2.0641      2.0593      2.2591      2.2547      2.2519      
2010-01-13     1.0613      1.0953      1.1262      1.3987      1.4362      1.4483      1.4450      1.5510      1.6468      1.7425      1.7588      1.7599      1.8411      1.8360      1.8302      1.9251      1.9178      1.9116      2.0739      2.0670      2.0611      2.2652      2.2577      2.2535      
2010-01-14     1.0549      1.0852      1.1205      1.4094      1.4229      1.4482      1.4308      1.5170      1.6406      1.7426      1.7534      1.7603      1.8463      1.8386      1.8322      1.9304      1.9210      1.9135      2.0798      2.0702      2.0631      2.2715      2.2613      2.2555      
2010-01-15     1.0484      1.0733      1.1136      1.4125      1.4079      1.4462      1.4229      1.4909      1.6341      1.7419      1.7482      1.7608      1.8519      1.8419      1.8345      1.9358      1.9247      1.9158      2.0856      2.0739      2.0653      2.2780      2.2655      2.2576      
2010-01-18     1.0444      1.0643      1.1066      1.4194      1.4061      1.4436      1.4214      1.4658      1.6188      1.7413      1.7446      1.7610      1.8574      1.8455      1.8369      1.9419      1.9291      1.9183      2.0912      2.0779      2.0677      2.2846      2.2701      2.2600      
2010-01-19     1.0431      1.0555      1.0999      1.4046      1.4022      1.4394      1.4192      1.4474      1.5996      1.7408      1.7425      1.7607      1.8630      1.8497      1.8395      1.9481      1.9339      1.9211      2.0971      2.0827      2.0704      2.2915      2.2753      2.2627      
2010-01-20     1.0315      1.0464      1.0937      1.4172      1.4079      1.4399      1.4403      1.4427      1.5859      1.7398      1.7411      1.7600      1.8676      1.8543      1.8422      1.9532      1.9391      1.9241      2.1021      2.0880      2.0734      2.2978      2.2815      2.2658      
2010-01-21     1.0277      1.0413      1.0873      1.4102      1.4098      1.4401      1.4589      1.4448      1.5725      1.7387      1.7407      1.7588      1.8723      1.8593      1.8450      1.9584      1.9444      1.9272      2.1076      2.0937      2.0766      2.3040      2.2878      2.2692      
2010-01-22     1.0305      1.0394      1.0817      1.4234      1.4180      1.4447      1.4801      1.4515      1.5600      1.7381      1.7400      1.7572      1.8766      1.8643      1.8478      1.9633      1.9496      1.9305      2.1132      2.0994      2.0801      2.3099      2.2939      2.2728      
2010-01-25     1.0626      1.0535      1.0836      1.4204      1.4199      1.4423      1.4989      1.4601      1.5438      1.7393      1.7403      1.7550      1.8810      1.8692      1.8509      1.9672      1.9545      1.9337      2.1188      2.1050      2.0836      2.3155      2.3000      2.2764      
2010-01-26     1.0964      1.0697      1.0857      1.4561      1.4304      1.4425      1.5233      1.4713      1.5302      1.7413      1.7411      1.7527      1.8851      1.8741      1.8540      1.9703      1.9592      1.9370      2.1234      2.1103      2.0872      2.3202      2.3058      2.2802      
2010-01-27     1.1539      1.0927      1.0940      1.4742      1.4457      1.4410      1.5481      1.4942      1.5226      1.7451      1.7424      1.7506      1.8894      1.8785      1.8572      1.9732      1.9632      1.9405      2.1274      2.1148      2.0909      2.3235      2.3107      2.2842      
2010-01-28     1.2200      1.1238      1.1045      1.5618      1.4860      1.4545      1.6174      1.5382      1.5276      1.7586      1.7487      1.7510      1.8933      1.8828      1.8607      1.9760      1.9672      1.9441      2.1310      2.1193      2.0948      2.3262      2.3151      2.2882      
