日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2021-01-04     0.7866      0.8462      1.0882      2.2158      2.1179      2.0922      2.7360      2.7955      2.4091      2.6900      2.6994      2.7069      2.7550      2.7718      2.8826      2.8358      2.8477      2.9650      2.9410      2.9596      3.0580      3.0006      3.0167      3.1085      
2021-01-05     0.7978      0.7702      1.0563      2.1536      2.0951      2.0773      2.5342      2.6949      2.4003      2.6650      2.6854      2.7007      2.7496      2.7634      2.8655      2.8314      2.8406      2.9481      2.9340      2.9501      3.0433      2.9958      3.0105      3.0949      
2021-01-06     0.7962      0.7303      1.0220      2.0940      2.0856      2.0706      2.3308      2.5797      2.3871      2.6304      2.6669      2.6921      2.7396      2.7545      2.8472      2.8224      2.8330      2.9299      2.9226      2.9398      3.0275      2.9880      3.0027      3.0801      
2021-01-07     0.8516      0.7601      1.0148      2.0034      2.0647      2.0596      2.0864      2.4693      2.3721      2.5882      2.6452      2.6809      2.7240      2.7435      2.8286      2.8088      2.8245      2.9107      2.9060      2.9287      3.0103      2.9752      2.9930      3.0641      
2021-01-08     0.8260      0.7957      1.0141      1.9554      2.1014      2.0635      1.8400      2.3688      2.3631      2.5414      2.6217      2.6687      2.7018      2.7304      2.8096      2.7888      2.8134      2.8905      2.8856      2.9162      2.9922      2.9572      2.9811      3.0472      
2021-01-11     0.8894      0.8380      1.0034      1.9864      2.1011      2.0620      1.8000      2.2680      2.3552      2.5024      2.5962      2.6555      2.6762      2.7156      2.7897      2.7660      2.8009      2.8697      2.8632      2.9021      2.9731      2.9364      2.9685      3.0297      
2021-01-12     1.0102      0.9040      0.9849      2.0190      2.0863      2.0541      1.8134      2.1738      2.3491      2.4734      2.5692      2.6410      2.6492      2.6994      2.7697      2.7434      2.7874      2.8499      2.8410      2.8875      2.9539      2.9154      2.9556      3.0122      
2021-01-13     1.1672      0.9817      0.9848      2.0256      2.0598      2.0510      1.8460      2.0884      2.3467      2.4500      2.5402      2.6253      2.6258      2.6827      2.7500      2.7244      2.7734      2.8312      2.8230      2.8728      2.9360      2.8972      2.9426      2.9957      
2021-01-14     1.3180      1.0848      1.0199      2.0572      2.0303      2.0609      1.8850      1.9857      2.3485      2.4326      2.5104      2.6094      2.6068      2.6654      2.7315      2.7100      2.7594      2.8148      2.8098      2.8579      2.9203      2.8828      2.9290      2.9815      
2021-01-15     1.4726      1.1493      1.0390      2.0538      2.0046      2.0690      1.9244      1.8822      2.3512      2.4170      2.4792      2.5930      2.5940      2.6479      2.7153      2.7012      2.7450      2.8010      2.8014      2.8435      2.9068      2.8726      2.9149      2.9695      
2021-01-18     1.6544      1.2719      1.0591      2.0596      2.0230      2.0705      1.9884      1.8942      2.3449      2.4052      2.4538      2.5766      2.5860      2.6311      2.7015      2.6962      2.7311      2.7894      2.7972      2.8302      2.8949      2.8662      2.9013      2.9590      
2021-01-19     1.8350      1.4226      1.0964      2.1160      2.0675      2.0813      2.0534      1.9334      2.3142      2.3980      2.4357      2.5606      2.5808      2.6150      2.6892      2.6926      2.7180      2.7793      2.7938      2.8174      2.8838      2.8618      2.8886      2.9496      
2021-01-20     2.0462      1.6067      1.1685      2.2148      2.1202      2.1029      2.1870      2.0165      2.2981      2.4084      2.4292      2.5481      2.5778      2.6018      2.6782      2.6908      2.7076      2.7703      2.7918      2.8074      2.8736      2.8608      2.8790      2.9409      
2021-01-21     2.2258      1.7719      1.2660      2.2840      2.1706      2.1177      2.3298      2.1074      2.2884      2.4254      2.4290      2.5371      2.5770      2.5919      2.6677      2.6890      2.6995      2.7620      2.7902      2.8000      2.8644      2.8630      2.8729      2.9330      
2021-01-22     2.3654      1.9190      1.3574      2.3134      2.1836      2.1425      2.4520      2.1882      2.2785      2.4480      2.4325      2.5271      2.5764      2.5852      2.6578      2.6878      2.6945      2.7540      2.7890      2.7952      2.8557      2.8678      2.8702      2.9257      
2021-01-25     2.4304      2.0424      1.4402      2.3372      2.1984      2.1498      2.5600      2.2742      2.2711      2.4728      2.4390      2.5176      2.5766      2.5813      2.6485      2.6880      2.6921      2.7465      2.7886      2.7929      2.8475      2.8748      2.8705      2.9195      
2021-01-26     2.5284      2.1817      1.5429      2.4294      2.2727      2.1795      2.6810      2.3672      2.2705      2.5030      2.4505      2.5099      2.5798      2.5803      2.6399      2.6908      2.6917      2.7396      2.7920      2.7929      2.8402      2.8844      2.8731      2.9144      
2021-01-27     2.6310      2.3386      1.6602      2.5246      2.3697      2.2148      2.7700      2.4785      2.2835      2.5366      2.4725      2.5064      2.5886      2.5832      2.6330      2.6946      2.6927      2.7331      2.7996      2.7957      2.8343      2.8984      2.8796      2.9111      
2021-01-28     2.7212      2.4735      1.7792      2.6490      2.4665      2.2484      2.9508      2.6403      2.3130      2.5804      2.5029      2.5067      2.6140      2.5955      2.6305      2.7082      2.6986      2.7290      2.8136      2.8019      2.8299      2.9158      2.8894      2.9092      
2021-01-29     2.8904      2.6279      1.8886      2.8090      2.5612      2.2829      3.1902      2.8211      2.3517      2.6462      2.5471      2.5132      2.6514      2.6139      2.6309      2.7298      2.7088      2.7269      2.8350      2.8120      2.8278      2.9370      2.9024      2.9087      
