日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2015-01-04     3.4898      3.5579      3.1323      4.7380      5.0682      4.3215      5.5126      5.6166      4.9067      5.6716      5.8275      5.2383      5.1400      5.1290      4.7732      4.7495      4.7130      4.5509      4.6158      4.5992      4.5463      4.7214      4.7086      4.6800      
2015-01-05     3.4768      3.5394      3.1720      4.7200      5.0040      4.3882      5.5598      5.6511      4.9921      5.5530      5.7953      5.2956      5.1353      5.1414      4.8186      4.7483      4.7301      4.5710      4.6195      4.6061      4.5533      4.7282      4.7147      4.6847      
2015-01-06     3.4002      3.4724      3.1915      4.6254      4.8499      4.4293      5.4758      5.5428      5.0429      5.4426      5.7071      5.3391      5.1230      5.1384      4.8610      4.7478      4.7401      4.5910      4.6257      4.6126      4.5612      4.7351      4.7205      4.6899      
2015-01-07     3.3004      3.3938      3.2036      4.4722      4.6719      4.4514      5.3470      5.4133      5.0820      5.3272      5.5894      5.3720      5.0988      5.1242      4.9002      4.7488      4.7462      4.6110      4.6318      4.6190      4.5695      4.7410      4.7253      4.6952      
2015-01-08     3.1608      3.3162      3.2129      4.2934      4.5279      4.4659      5.1630      5.3160      5.1171      5.1702      5.4609      5.3936      5.0644      5.1039      4.9359      4.7496      4.7487      4.6307      4.6375      4.6246      4.5781      4.7447      4.7298      4.7004      
2015-01-09     2.9938      3.2418      3.2209      4.0644      4.4012      4.4775      4.9438      5.2282      5.1462      5.0006      5.3361      5.4092      5.0218      5.0809      4.9664      4.7482      4.7489      4.6500      4.6428      4.6293      4.5866      4.7468      4.7341      4.7056      
2015-01-12     2.8602      3.1685      3.2260      3.8718      4.2959      4.4862      4.7550      5.1574      5.1721      4.8842      5.2186      5.4197      4.9780      5.0567      4.9951      4.7482      4.7483      4.6691      4.6489      4.6342      4.5953      4.7482      4.7382      4.7106      
2015-01-13     2.7872      3.0937      3.2266      3.7696      4.1975      4.4925      4.7004      5.0881      5.1958      4.8212      5.1319      5.4245      4.9437      5.0334      5.0194      4.7494      4.7486      4.6880      4.6529      4.6393      4.6037      4.7491      4.7421      4.7156      
2015-01-14     2.7382      3.0193      3.2250      3.7624      4.1173      4.5025      4.7118      5.0294      5.2222      4.7904      5.0588      5.4185      4.9195      5.0092      5.0360      4.7495      4.7492      4.7048      4.6564      4.6441      4.6118      4.7496      4.7453      4.7204      
2015-01-15     2.6984      2.9296      3.2183      3.7820      4.0377      4.5101      4.7360      4.9495      5.2403      4.7892      4.9797      5.3945      4.9057      4.9851      5.0439      4.7508      4.7502      4.7192      4.6608      4.6491      4.6195      4.7502      4.7474      4.7247      
2015-01-16     2.6640      2.8289      3.1934      3.8040      3.9342      4.5012      4.7476      4.8457      5.2312      4.7916      4.8961      5.3618      4.8985      4.9602      5.0446      4.7536      4.7509      4.7319      4.6665      4.6546      4.6269      4.7508      4.7488      4.7287      
2015-01-19     2.6454      2.7528      3.1461      3.8178      3.8448      4.4244      4.7486      4.7518      5.2015      4.7932      4.8387      5.3170      4.8961      4.9371      5.0392      4.7572      4.7527      4.7414      4.6718      4.6604      4.6332      4.7519      4.7501      4.7324      
2015-01-20     2.6534      2.7203      3.0964      3.8282      3.7989      4.3244      4.7538      4.7271      5.1350      4.8051      4.8132      5.2601      4.8944      4.9191      5.0288      4.7605      4.7550      4.7475      4.6802      4.6666      4.6396      4.7546      4.7519      4.7362      
