日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2013-01-04     2.6609      2.5240      2.3903      4.1160      3.7460      3.3461      4.4938      4.4057      3.7786      4.6841      4.7179      4.3392      3.8975      3.8906      3.8709      4.1000      4.1000      4.1000      4.2600      4.2599      4.2585      4.4003      4.4003      4.4002      
2013-01-05     2.6611      2.5267      2.3930      4.0974      3.8218      3.3962      4.4118      4.3896      3.8195      4.5979      4.6954      4.3571      3.8988      3.8934      3.8742      4.1000      4.1000      4.1000      4.2600      4.2600      4.2587      4.4003      4.4004      4.4002      
2013-01-06     2.6424      2.4828      2.3909      4.0192      3.8368      3.4320      4.2684      4.3408      3.8480      4.4296      4.6285      4.3649      3.9001      3.8955      3.8774      4.1000      4.1000      4.1000      4.2600      4.2600      4.2589      4.4003      4.4004      4.4002      
2013-01-07     2.6158      2.4560      2.3861      3.8458      3.8172      3.4393      4.0098      4.2561      3.8587      4.2594      4.5434      4.3695      3.9013      3.8975      3.8804      4.1000      4.1000      4.1000      4.2600      4.2600      4.2592      4.4004      4.4004      4.4003      
2013-01-08     2.2716      2.4405      2.3809      3.5598      3.8143      3.4456      3.7144      4.1173      3.8670      4.0776      4.4526      4.3715      3.9020      3.8990      3.8831      4.1000      4.1000      4.1000      4.2600      4.2600      4.2594      4.4004      4.4004      4.4003      
2013-01-09     2.1816      2.4212      2.3737      3.3551      3.7356      3.4465      3.4880      3.9909      3.8680      4.0186      4.3514      4.3677      3.9026      3.9001      3.8857      4.1000      4.1000      4.1000      4.2600      4.2600      4.2596      4.4004      4.4003      4.4003      
2013-01-10     2.1424      2.4017      2.3661      3.1947      3.6461      3.4456      3.2840      3.8479      3.8677      3.9383      4.2681      4.3541      3.9028      3.9008      3.8881      4.1000      4.1000      4.1000      4.2600      4.2600      4.2596      4.4004      4.4003      4.4003      
2013-01-11     2.1234      2.3829      2.3576      3.0239      3.5216      3.4499      3.0866      3.6775      3.8627      3.8899      4.1598      4.3437      3.9031      3.9016      3.8905      4.1000      4.1000      4.1000      4.2600      4.2600      4.2597      4.4003      4.4003      4.4003      
2013-01-14     2.1084      2.3621      2.3487      2.9427      3.3943      3.4396      2.9920      3.5009      3.8535      3.8457      4.0526      4.3313      3.9037      3.9025      3.8929      4.1001      4.1000      4.1000      4.2600      4.2600      4.2598      4.4003      4.4003      4.4003      
2013-01-15     2.1004      2.1860      2.3411      2.8869      3.2234      3.4322      2.9090      3.3117      3.8403      3.7883      3.9330      4.3218      3.9041      3.9030      3.8951      4.1001      4.1000      4.1000      4.2600      4.2600      4.2599      4.4003      4.4003      4.4003      
