日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2007-01-04     1.5989      1.6201      1.7316      1.8227      1.9919      2.0624      2.1635      2.2872      2.3238      2.5828      2.5776      2.5907      2.8080      2.8076      2.8078      2.8683      2.8679      2.8645      2.9302      2.9301      2.9292      3.0021      3.0020      3.0017      
2007-01-05     1.5377      1.6004      1.7016      1.7088      1.9523      2.0245      2.0978      2.2563      2.3063      2.5805      2.5777      2.5836      2.8080      2.8077      2.8077      2.8684      2.8681      2.8651      2.9303      2.9301      2.9295      3.0021      3.0021      3.0018      
2007-01-08     1.4681      1.5745      1.6706      1.6064      1.8924      1.9848      2.0592      2.2263      2.2884      2.5752      2.5763      2.5782      2.8080      2.8078      2.8077      2.8685      2.8682      2.8656      2.9304      2.9302      2.9297      3.0022      3.0021      3.0018      
2007-01-09     1.4260      1.5488      1.6387      1.5109      1.8075      1.9447      2.0399      2.1841      2.2689      2.5697      2.5749      2.5747      2.8080      2.8079      2.8076      2.8686      2.8683      2.8661      2.9305      2.9303      2.9298      3.0023      3.0021      3.0019      
2007-01-10     1.3829      1.5196      1.6104      1.4697      1.7217      1.9055      2.0311      2.1288      2.2474      2.5623      2.5728      2.5725      2.8080      2.8080      2.8076      2.8687      2.8684      2.8665      2.9306      2.9304      2.9299      3.0023      3.0022      3.0019      
2007-01-11     1.3635      1.4812      1.5825      1.4474      1.6351      1.8647      1.9781      2.0708      2.2244      2.5537      2.5682      2.5702      2.8081      2.8080      2.8077      2.8687      2.8685      2.8669      2.9307      2.9304      2.9301      3.0024      3.0022      3.0020      
2007-01-12     1.3436      1.4407      1.5548      1.4272      1.5680      1.8318      1.9240      2.0109      2.1960      2.5444      2.5624      2.5679      2.8081      2.8080      2.8077      2.8688      2.8686      2.8673      2.9307      2.9305      2.9302      3.0024      3.0023      3.0020      
2007-01-15     1.3291      1.3986      1.5309      1.4127      1.5096      1.7983      1.8679      1.9635      2.1667      2.5368      2.5560      2.5651      2.8081      2.8080      2.8077      2.8688      2.8687      2.8677      2.9308      2.9306      2.9302      3.0024      3.0023      3.0021      
2007-01-16     1.3144      1.3702      1.5087      1.3993      1.4551      1.7658      1.8056      1.9228      2.1344      2.5287      2.5492      2.5623      2.8080      2.8080      2.8077      2.8688      2.8687      2.8680      2.9308      2.9307      2.9303      3.0024      3.0023      3.0021      
2007-01-17     1.3074      1.3452      1.4917      1.4138      1.4417      1.7396      1.7740      1.9026      2.1068      2.5228      2.5425      2.5597      2.8079      2.8080      2.8077      2.8689      2.8688      2.8682      2.9309      2.9308      2.9304      3.0024      3.0024      3.0022      
2007-01-18     1.3253      1.3444      1.4823      1.4323      1.4398      1.7159      1.7924      1.8853      2.0862      2.5193      2.5365      2.5570      2.8079      2.8080      2.8078      2.8689      2.8688      2.8684      2.9310      2.9308      2.9305      3.0024      3.0024      3.0022      
2007-01-19     1.3468      1.3452      1.4728      1.4610      1.4441      1.6982      1.8489      1.8865      2.0714      2.5177      2.5311      2.5544      2.8079      2.8080      2.8079      2.8690      2.8689      2.8685      2.9311      2.9309      2.9305      3.0024      3.0024      3.0022      
2007-01-22     1.3708      1.3500      1.4622      1.5396      1.4761      1.6843      1.9221      1.8950      2.0607      2.5172      2.5270      2.5516      2.8080      2.8080      2.8079      2.8690      2.8689      2.8686      2.9312      2.9310      2.9306      3.0024      3.0024      3.0023      
2007-01-23     1.4340      1.3742      1.4615      1.6579      1.5286      1.6680      2.0168      1.9112      2.0477      2.5174      2.5231      2.5490      2.8080      2.8080      2.8080      2.8691      2.8690      2.8687      2.9313      2.9311      2.9307      3.0024      3.0024      3.0023      
2007-01-24     1.5122      1.4098      1.4647      1.7594      1.5866      1.6541      2.0961      1.9351      2.0319      2.5178      2.5203      2.5465      2.8081      2.8080      2.8080      2.8692      2.8690      2.8687      2.9314      2.9311      2.9307      3.0024      3.0024      3.0023      
2007-01-25     1.5783      1.4518      1.4665      1.8616      1.6469      1.6410      2.1338      1.9631      2.0170      2.5180      2.5187      2.5435      2.8081      2.8080      2.8080      2.8692      2.8691      2.8688      2.9314      2.9312      2.9308      3.0024      3.0024      3.0023      
2007-01-26     1.6536      1.5002      1.4704      1.9659      1.7135      1.6407      2.1618      2.0054      2.0081      2.5183      2.5180      2.5402      2.8082      2.8080      2.8080      2.8693      2.8691      2.8689      2.9315      2.9313      2.9309      3.0024      3.0024      3.0023      
2007-01-29     1.7262      1.5485      1.4736      2.0320      1.7858      1.6477      2.1779      2.0500      2.0068      2.5186      2.5179      2.5369      2.8082      2.8081      2.8081      2.8694      2.8692      2.8689      2.9316      2.9314      2.9310      3.0025      3.0024      3.0024      
2007-01-30     1.7635      1.5988      1.4845      2.0595      1.8587      1.6569      2.1866      2.1017      2.0122      2.5189      2.5182      2.5337      2.8082      2.8081      2.8081      2.8694      2.8693      2.8690      2.9317      2.9315      2.9311      3.0025      3.0024      3.0024      
2007-01-31     1.7776      1.6449      1.4950      2.0767      1.9180      1.6799      2.1866      2.1413      2.0220      2.5191      2.5184      2.5305      2.8082      2.8082      2.8081      2.8695      2.8693      2.8690      2.9317      2.9316      2.9312      3.0025      3.0025      3.0024      
2007-02-01     1.7788      1.6785      1.5115      2.0898      1.9757      1.7078      2.2001      2.1670      2.0261      2.5201      2.5191      2.5278      2.8083      2.8082      2.8081      2.8696      2.8694      2.8691      2.9318      2.9316      2.9312      3.0025      3.0025      3.0024      
2007-02-02     1.7720      1.7128      1.5290      2.0741      2.0200      1.7321      2.2267      2.1943      2.0404      2.5221      2.5202      2.5256      2.8083      2.8082      2.8081      2.8696      2.8695      2.8692      2.9318      2.9317      2.9313      3.0025      3.0025      3.0024      
2007-02-05     1.7672      1.7467      1.5483      2.0678      2.0499      1.7630      2.3120      2.2449      2.0700      2.5513      2.5349      2.5310      2.8083      2.8083      2.8081      2.8697      2.8695      2.8692      2.9319      2.9317      2.9314      3.0025      3.0025      3.0024      
2007-02-06     1.7674      1.7655      1.5699      2.0823      2.0709      1.7997      2.4734      2.3300      2.1206      2.6155      2.5672      2.5451      2.8084      2.8083      2.8081      2.8697      2.8696      2.8693      2.9319      2.9318      2.9314      3.0025      3.0025      3.0025      
2007-02-07     1.7797      1.7786      1.5942      2.1714      2.1241      1.8553      2.7063      2.4465      2.1908      2.7288      2.6240      2.5721      2.8098      2.8090      2.8085      2.8697      2.8696      2.8693      2.9320      2.9319      2.9315      3.0025      3.0025      3.0025      
2007-02-08     1.8073      1.7930      1.6224      2.4600      2.2749      1.9609      2.9606      2.5804      2.2717      2.8773      2.6987      2.6087      2.8122      2.8102      2.8091      2.8698      2.8697      2.8694      2.9320      2.9319      2.9316      3.0025      3.0025      3.0025      
