日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2012-01-04     3.7482      3.3590      3.1301      5.2160      4.5671      3.9542      5.6959      5.4812      4.5820      5.9207      5.8838      5.4281      5.4719      5.4651      5.4618      5.4235      5.4222      5.4268      5.2406      5.2414      5.2412      5.2366      5.2358      5.2361      
2012-01-05     3.8642      3.4692      3.1866      5.1710      4.6577      4.0079      5.5484      5.4768      4.6548      5.9205      5.8822      5.4857      5.4690      5.4664      5.4607      5.4234      5.4218      5.4265      5.2409      5.2411      5.2416      5.2373      5.2359      5.2362      
2012-01-06     3.9803      3.5755      3.2435      4.9473      4.7104      4.0495      5.3536      5.4051      4.7107      5.9402      5.8879      5.5429      5.4662      5.4668      5.4601      5.4233      5.4217      5.4259      5.2411      5.2408      5.2418      5.2377      5.2362      5.2363      
2012-01-09     4.0989      3.6816      3.2990      4.7328      4.7873      4.0983      5.0545      5.3148      4.7639      5.9292      5.8997      5.6109      5.4633      5.4667      5.4597      5.4221      5.4219      5.4251      5.2418      5.2411      5.2421      5.2376      5.2366      5.2364      
2012-01-10     3.8377      3.7510      3.3363      4.2872      4.7879      4.1265      4.6653      5.2615      4.8075      5.9160      5.9121      5.6636      5.4618      5.4671      5.4598      5.4220      5.4226      5.4247      5.2423      5.2413      5.2421      5.2376      5.2369      5.2363      
2012-01-11     3.7862      3.7672      3.3508      4.2822      4.7491      4.1514      4.6398      5.1679      4.8549      5.9230      5.9218      5.7150      5.4571      5.4645      5.4593      5.4213      5.4224      5.4242      5.2423      5.2415      5.2421      5.2378      5.2372      5.2364      
2012-01-12     3.6812      3.7727      3.3787      4.2145      4.6927      4.1992      4.7530      5.1507      4.9641      5.9225      5.9215      5.7708      5.4547      5.4619      5.4595      5.4208      5.4221      5.4236      5.2423      5.2416      5.2421      5.2378      5.2376      5.2365      
2012-01-13     3.8089      3.8946      3.4631      4.3220      4.6347      4.2686      5.0253      5.1895      5.0945      5.9712      5.9557      5.8255      5.4541      5.4602      5.4600      5.4206      5.4219      5.4230      5.2425      5.2418      5.2420      5.2376      5.2376      5.2365      
2012-01-16     4.1034      4.1012      3.5930      4.5373      4.6351      4.3950      5.3980      5.2263      5.2324      6.1662      6.0477      5.9181      5.4590      5.4611      5.4617      5.4211      5.4216      5.4225      5.2430      5.2424      5.2421      5.2377      5.2377      5.2366      
2012-01-17     4.8381      4.3379      3.8175      5.1993      4.7432      4.6152      6.0525      5.3589      5.4050      6.5392      6.2276      6.0386      5.4696      5.4657      5.4649      5.4220      5.4220      5.4223      5.2443      5.2433      5.2423      5.2376      5.2376      5.2367      
2012-01-18     5.8234      4.8048      4.0819      5.9802      5.1312      4.8491      6.9045      5.7722      5.6267      7.1967      6.5598      6.2218      5.4988      5.4780      5.4715      5.4229      5.4221      5.4222      5.2454      5.2439      5.2426      5.2377      5.2377      5.2368      
2012-01-19     6.4279      5.0546      4.2619      6.3493      5.2819      4.9698      7.1288      5.9409      5.7089      7.5442      6.7333      6.3078      5.5188      5.4868      5.4766      5.4236      5.4222      5.4220      5.2467      5.2445      5.2428      5.2375      5.2377      5.2368      
2012-01-20     6.1962      5.0026      4.2890      6.3800      5.3510      5.0307      7.1163      6.0708      5.7379      7.5108      6.7410      6.3144      5.5289      5.4915      5.4791      5.4237      5.4221      5.4219      5.2483      5.2454      5.2431      5.2372      5.2374      5.2368      
2012-01-21     5.7955      4.9495      4.3155      6.0492      5.2933      5.0403      6.6722      6.0351      5.6749      7.2246      6.6954      6.2975      5.5283      5.4936      5.4802      5.4231      5.4221      5.4220      5.2488      5.2459      5.2435      5.2375      5.2376      5.2371      
2012-01-29     4.9820      4.9101      4.3305      5.4130      5.3062      5.0470      5.9518      6.0022      5.6318      6.7476      6.6434      6.2778      5.5202      5.4949      5.4810      5.4212      5.4216      5.4221      5.2490      5.2466      5.2440      5.2378      5.2377      5.2373      
2012-01-30     3.9202      4.8718      4.3195      4.7023      5.3412      5.0451      5.1603      6.0324      5.6001      5.9847      6.5907      6.2563      5.4966      5.4977      5.4811      5.4196      5.4213      5.4218      5.2494      5.2474      5.2444      5.2376      5.2377      5.2374      
2012-01-31     3.2142      4.8211      4.2969      4.3628      5.3561      5.0244      4.8310      5.9799      5.5653      5.5407      6.5425      6.2320      5.4800      5.4994      5.4807      5.4183      5.4209      5.4215      5.2495      5.2481      5.2449      5.2376      5.2376      5.2376      
2012-02-01     3.1117      4.6540      4.2743      4.2358      5.3079      4.9713      4.6470      5.8817      5.5356      5.3871      6.4489      6.2023      5.4703      5.4996      5.4799      5.4170      5.4204      5.4211      5.2485      5.2484      5.2451      5.2378      5.2375      5.2376      
2012-02-02     3.0114      4.4035      4.2523      4.3149      5.1821      4.9086      4.8048      5.7385      5.4824      5.3332      6.2789      6.1633      5.4643      5.4963      5.4787      5.4158      5.4194      5.4205      5.2482      5.2485      5.2455      5.2373      5.2374      5.2375      
2012-02-03     2.9364      3.9592      4.1486      4.1313      4.7721      4.7577      4.9198      5.4358      5.3974      5.2362      5.9919      6.1098      5.4573      5.4887      5.4772      5.4149      5.4181      5.4201      5.2477      5.2483      5.2458      5.2369      5.2373      5.2375      
2012-02-06     2.9198      3.4200      4.1124      3.9505      4.3264      4.7288      4.7048      4.9326      5.3524      5.1514      5.5680      6.0639      5.4494      5.4730      5.4755      5.4138      5.4167      5.4194      5.2466      5.2480      5.2459      5.2369      5.2373      5.2375      
2012-02-07     2.8817      3.0480      4.0513      3.7877      4.0752      4.6786      4.4728      4.6519      5.2964      5.0345      5.2876      6.0105      5.4323      5.4561      5.4715      5.4112      5.4147      5.4185      5.2449      5.2472      5.2459      5.2369      5.2373      5.2375      
2012-02-08     2.8420      2.9769      3.9897      3.6585      3.9471      4.6491      4.2613      4.4542      5.2625      4.9303      5.1587      5.9498      5.4128      5.4415      5.4665      5.4061      5.4116      5.4168      5.2437      5.2461      5.2457      5.2363      5.2370      5.2372      
2012-02-09     2.7799      2.8956      3.9226      3.5273      3.9211      4.6072      4.0233      4.4141      5.2246      4.8278      5.0805      5.8880      5.3887      5.4265      5.4601      5.3992      5.4075      5.4148      5.2421      5.2452      5.2455      5.2354      5.2363      5.2370      
2012-02-10     2.7324      2.8344      3.8722      3.5930      3.8621      4.5841      3.8333      4.3766      5.1894      4.7449      4.9906      5.8170      5.3637      5.4105      5.4527      5.3892      5.4020      5.4118      5.2404      5.2440      5.2453      5.2344      5.2356      5.2367      
2012-02-13     2.7150      2.8174      3.8446      3.6348      3.7927      4.5669      3.8482      4.2765      5.1545      4.6309      4.8911      5.7409      5.3372      5.3933      5.4455      5.3768      5.3953      5.4083      5.2388      5.2427      5.2450      5.2333      5.2351      5.2364      
2012-02-14     2.7591      2.8204      3.8208      3.6888      3.7382      4.5471      3.8682      4.1705      5.0752      4.5584      4.7964      5.6694      5.3178      5.3750      5.4372      5.3637      5.3875      5.4042      5.2376      5.2412      5.2447      5.2323      5.2346      5.2361      
2012-02-15     2.8073      2.8247      3.7393      3.7236      3.6911      4.4995      3.9033      4.0823      4.9820      4.5311      4.7307      5.5898      5.3010      5.3569      5.4282      5.3516      5.3789      5.3996      5.2368      5.2403      5.2443      5.2318      5.2340      5.2358      
2012-02-16     2.9765      2.8782      3.6408      3.8551      3.6912      4.4366      4.1447      4.0840      4.9112      4.5962      4.7120      5.4955      5.2916      5.3401      5.4182      5.3417      5.3704      5.3949      5.2360      5.2391      5.2438      5.2318      5.2336      5.2355      
