日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2016-01-04     1.9590      1.9274      1.8593      2.3496      2.3475      2.3236      2.9232      2.8712      2.7577      3.0037      2.9845      2.8547      3.0871      3.0785      3.0635      3.2000      3.2000      3.2000      3.2500      3.2500      3.2500      3.3500      3.3500      3.3500      
2016-01-05     1.9708      1.9429      1.8700      2.3448      2.3471      2.3255      2.9202      2.8873      2.7710      3.0026      2.9955      2.8697      3.0867      3.0816      3.0654      3.2000      3.2000      3.2000      3.2500      3.2500      3.2500      3.3500      3.3500      3.3500      
2016-01-06     1.9798      1.9534      1.8797      2.3388      2.3451      2.3270      2.9142      2.9004      2.7840      3.0016      3.0011      2.8847      3.0855      3.0837      3.0670      3.1988      3.1994      3.1997      3.2500      3.2500      3.2500      3.3494      3.3497      3.3499      
2016-01-07     1.9860      1.9597      1.8885      2.3310      2.3416      2.3280      2.9096      2.9075      2.7967      3.0007      3.0023      2.8997      3.0828      3.0838      3.0684      3.1970      3.1985      3.1993      3.2500      3.2500      3.2500      3.3486      3.3493      3.3497      
2016-01-08     1.9794      1.9631      1.8970      2.3216      2.3376      2.3285      2.8936      2.9079      2.8080      3.0001      3.0022      2.9146      3.0791      3.0828      3.0694      3.1941      3.1971      3.1985      3.2498      3.2499      3.2500      3.3476      3.3488      3.3494      
2016-01-11     1.9706      1.9648      1.9051      2.3152      2.3324      2.3286      2.8762      2.8997      2.8168      2.9995      3.0016      2.9295      3.0736      3.0804      3.0698      3.1898      3.1949      3.1974      3.2494      3.2497      3.2499      3.3464      3.3482      3.3491      
2016-01-12     1.9612      1.9660      1.9133      2.3092      2.3270      2.3284      2.8554      2.8878      2.8247      2.9989      3.0008      2.9444      3.0670      3.0769      3.0701      3.1842      3.1921      3.1960      3.2486      3.2493      3.2497      3.3444      3.3472      3.3486      
2016-01-13     1.9552      1.9675      1.9214      2.3048      2.3218      2.3285      2.8300      2.8721      2.8313      2.9923      2.9970      2.9567      3.0588      3.0722      3.0696      3.1780      3.1884      3.1942      3.2466      3.2483      3.2492      3.3419      3.3457      3.3478      
2016-01-14     1.9520      1.9690      1.9294      2.3022      2.3166      2.3284      2.8022      2.8559      2.8372      2.9786      2.9897      2.9661      3.0493      3.0660      3.0686      3.1702      3.1836      3.1918      3.2430      3.2465      3.2483      3.3363      3.3425      3.3462      
2016-01-15     1.9516      1.9655      1.9375      2.3012      2.3114      2.3286      2.7764      2.8350      2.8422      2.9586      2.9794      2.9730      3.0375      3.0583      3.0666      3.1603      3.1772      3.1886      3.2354      3.2426      3.2463      3.3263      3.3370      3.3435      
2016-01-18     1.9522      1.9614      1.9444      2.3022      2.3087      2.3281      2.7590      2.8176      2.8444      2.9362      2.9679      2.9762      3.0228      3.0482      3.0634      3.1482      3.1690      3.1845      3.2234      3.2364      3.2432      3.3116      3.3290      3.3395      
2016-01-19     1.9538      1.9575      1.9502      2.3054      2.3073      2.3272      2.7446      2.8000      2.8437      2.9128      2.9559      2.9757      3.0074      3.0372      3.0594      3.1348      3.1595      3.1797      3.2090      3.2288      3.2394      3.2936      3.3190      3.3345      
2016-01-20     1.9604      1.9578      1.9556      2.3136      2.3092      2.3272      2.7358      2.7829      2.8417      2.8942      2.9433      2.9722      2.9933      3.0261      3.0549      3.1230      3.1505      3.1749      3.1954      3.2210      3.2355      3.2773      3.3096      3.3297      
2016-01-21     1.9732      1.9626      1.9612      2.3346      2.3184      2.3300      2.7470      2.7746      2.8411      2.8916      2.9351      2.9687      2.9851      3.0172      3.0505      3.1132      3.1417      3.1701      3.1838      3.2134      3.2317      3.2643      3.3003      3.3248      
2016-01-22     1.9876      1.9696      1.9664      2.3540      2.3276      2.3326      2.7666      2.7715      2.8397      2.9098      2.9342      2.9682      2.9897      3.0136      3.0482      3.1086      3.1344      3.1657      3.1772      3.2063      3.2281      3.2565      3.2914      3.3201      
