日期           O/N                                 1W                                  2W                                  1M                                  3M                                  6M                                  9M                                  1Y                                  
===========================================================================================================================================
               5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    5日均值     10日均值    20日均值    
2011-01-04     4.3813      3.8833      2.9529      5.7602      5.2930      4.1313      5.9934      5.5436      4.5213      5.8509      5.5528      4.7592      4.6058      4.4161      4.0498      3.5369      3.4340      3.2880      3.5725      3.4633      3.3163      3.6116      3.4959      3.3440      
2011-01-05     3.9982      3.9161      2.9876      5.2517      5.2070      4.1819      5.4890      5.5216      4.5600      5.4479      5.5205      4.7878      4.5898      4.4734      4.1062      3.5520      3.4678      3.3120      3.5865      3.4968      3.3406      3.6255      3.5309      3.3687      
2011-01-06     3.4825      3.8788      2.9917      4.6717      5.1068      4.2146      5.1032      5.4736      4.5991      5.0296      5.4528      4.8057      4.5580      4.5085      4.1584      3.5651      3.4987      3.3357      3.5990      3.5288      3.3648      3.6369      3.5638      3.3935      
2011-01-07     2.8866      3.7653      2.9972      3.9746      4.8206      4.2301      4.5920      5.3463      4.6263      4.5766      5.3308      4.8159      4.5174      4.5325      4.2029      3.5763      3.5265      3.3600      3.6101      3.5581      3.3895      3.6459      3.5938      3.4183      
2011-01-10     2.3842      3.5405      2.9972      3.1718      4.5648      4.2241      4.0578      5.1697      4.6547      4.1229      5.1466      4.8186      4.4609      4.5339      4.2383      3.5863      3.5515      3.3844      3.6211      3.5853      3.4144      3.6552      3.6220      3.4435      
2011-01-11     2.1941      3.2877      2.9959      2.7971      4.2787      4.2183      3.9047      4.9490      4.6719      4.0044      4.9276      4.8219      4.4021      4.5039      4.2682      3.5998      3.5683      3.4091      3.6336      3.6031      3.4394      3.6654      3.6385      3.4689      
2011-01-12     2.0506      3.0244      2.9941      2.6503      3.9510      4.1778      3.7613      4.6252      4.6712      3.9422      4.6951      4.8168      4.3367      4.4632      4.2920      3.6112      3.5816      3.4338      3.6454      3.6160      3.4643      3.6748      3.6501      3.4940      
2011-01-13     1.9976      2.7401      2.9891      2.4805      3.5761      4.1124      3.6167      4.3599      4.6590      3.8844      4.4570      4.8034      4.2781      4.4181      4.3098      3.6241      3.5946      3.4582      3.6572      3.6281      3.4887      3.6842      3.6606      3.5187      
2011-01-14     1.9580      2.4223      2.9851      2.4297      3.2022      4.0729      3.4660      4.0290      4.6338      3.8572      4.2169      4.7845      4.2224      4.3699      4.3240      3.6349      3.6056      3.4826      3.6663      3.6382      3.5129      3.6933      3.6696      3.5433      
2011-01-17     1.9411      2.1627      2.9816      2.4695      2.8206      4.0164      3.2950      3.6764      4.5889      3.9072      4.0151      4.7769      4.1819      4.3214      4.3367      3.6450      3.6157      3.5070      3.6743      3.6477      3.5372      3.7009      3.6781      3.5679      
2011-01-18     1.9446      2.0693      2.9763      2.5355      2.6663      3.9797      3.2025      3.5536      4.5486      4.0257      4.0150      4.7839      4.1625      4.2823      4.3492      3.6529      3.6263      3.5302      3.6809      3.6572      3.5603      3.7070      3.6862      3.5910      
2011-01-19     2.0776      2.0641      2.9901      2.8502      2.7503      3.9786      3.3500      3.5557      4.5386      4.3070      4.1246      4.8225      4.1949      4.2658      4.3696      3.6640      3.6376      3.5527      3.6889      3.6672      3.5820      3.7153      3.6950      3.6130      
2011-01-20     2.8361      2.4169      3.1478      3.6040      3.0423      4.0745      3.8770      3.7468      4.6102      4.8880      4.3862      4.9195      4.2973      4.2877      4.3981      3.6782      3.6511      3.5749      3.6990      3.6781      3.6035      3.7262      3.7052      3.6345      
2011-01-21     3.5966      2.7773      3.2713      4.5590      3.4944      4.1575      4.6033      4.0347      4.6905      5.6194      4.7383      5.0346      4.4557      4.3391      4.4358      3.6958      3.6653      3.5959      3.7143      3.6903      3.6242      3.7418      3.7176      3.6557      
2011-01-24     4.2196      3.0804      3.3104      5.1296      3.7995      4.1821      5.3652      4.3301      4.7499      6.3777      5.1424      5.1445      4.6380      4.4100      4.4719      3.7174      3.6812      3.6164      3.7339      3.7041      3.6447      3.7619      3.7314      3.6767      
2011-01-25     5.2610      3.6028      3.4452      6.1168      4.3261      4.3024      6.3270      4.7648      4.8569      7.1095      5.5676      5.2476      4.8546      4.5086      4.5062      3.7491      3.7010      3.6347      3.7611      3.7210      3.6620      3.7893      3.7481      3.6933      
2011-01-26     6.2877      4.1826      3.6035      6.8795      4.8648      4.4079      7.1445      5.2473      4.9362      7.6820      5.9945      5.3448      5.0715      4.6332      4.5482      3.7837      3.7239      3.6527      3.7975      3.7432      3.6796      3.8262      3.7707      3.7104      
2011-01-27     6.7459      4.7910      3.7655      7.3453      5.4747      4.5254      7.6225      5.7498      5.0548      7.9628      6.4254      5.4412      5.2467      4.7720      4.5950      3.8200      3.7491      3.6718      3.8378      3.7684      3.6982      3.8674      3.7968      3.7287      
2011-01-28     7.1409      5.3688      3.8955      7.5188      6.0389      4.6205      7.8950      6.2492      5.1391      8.0933      6.8564      5.5366      5.3844      4.9201      4.6450      3.8591      3.7774      3.6915      3.8812      3.7978      3.7180      3.9123      3.8271      3.7483      
2011-01-30     7.7294      5.9745      4.0686      8.1363      6.6330      4.7268      8.2403      6.8028      5.2396      8.1274      7.2525      5.6338      5.5156      5.0768      4.6991      3.8993      3.8084      3.7120      3.9254      3.8297      3.7387      3.9603      3.8611      3.7696      
2011-01-31     7.2914      6.2762      4.1728      8.2395      7.1781      4.9222      8.3531      7.3401      5.4468      8.1277      7.6186      5.8168      5.6148      5.2347      4.7585      3.9329      3.8410      3.7337      3.9672      3.8641      3.7607      4.0051      3.8972      3.7917      
2011-02-01     6.4084      6.3481      4.2061      7.3388      7.1092      4.9297      7.6773      7.4109      5.4833      7.8276      7.7548      5.9397      5.6553      5.3634      4.8146      3.9589      3.8713      3.7545      3.9985      3.8980      3.7826      4.0393      3.9327      3.8139      
2011-02-09     5.5780      6.1620      4.2894      6.4757      6.9105      4.9764      6.9628      7.2926      5.5197      7.3161      7.6395      6.0128      5.6893      5.4680      4.8778      4.0029      3.9114      3.7813      4.0470      3.9424      3.8102      4.0915      3.9795      3.8423      
2011-02-10     4.6133      5.8771      4.3272      5.6324      6.5756      5.0350      6.2596      7.0773      5.5560      6.7531      7.4232      6.0808      5.6924      5.5384      4.9387      4.0489      3.9540      3.8096      4.0954      3.9883      3.8393      4.1460      4.0292      3.8734      
2011-02-11     3.5937      5.6616      4.3710      4.7243      6.4303      5.1149      5.4683      6.8543      5.5922      6.1533      7.1403      6.1414      5.6395      5.5776      4.9938      4.0938      3.9966      3.8389      4.1421      4.0338      3.8689      4.1961      4.0782      3.9048      
2011-02-12     3.1098      5.2006      4.4017      3.6087      5.9241      5.1251      4.6018      6.4775      5.6211      5.4853      6.8065      6.1871      5.5273      5.5711      5.0398      4.1364      4.0347      3.8678      4.1861      4.0767      3.8988      4.2447      4.1249      3.9365      
2011-02-14     2.9027      4.6556      4.4191      3.4762      5.4075      5.1362      4.2543      5.9658      5.6065      5.0468      6.4372      6.2158      5.3996      5.5274      5.0803      4.1800      4.0694      3.8967      4.2311      4.1148      3.9290      4.2961      4.1677      3.9692      
2011-02-15     2.5952      4.0866      4.4388      3.1830      4.8294      5.1520      3.8745      5.4186      5.5842      4.8163      6.0662      6.2458      5.2186      5.4540      5.1130      4.2005      4.1017      3.9254      4.2553      4.1511      3.9597      4.3256      4.2086      4.0027      
2011-02-16     2.4802      3.5467      4.4578      2.9063      4.2694      5.1541      3.6410      4.9503      5.5997      4.6496      5.7014      6.2789      5.0443      5.3684      5.1442      4.2140      4.1315      3.9544      4.2714      4.1834      3.9906      4.3477      4.2469      4.0370      
2011-02-17     2.3405      2.9671      4.4708      2.6971      3.7107      5.1718      3.5218      4.4951      5.6489      4.4957      5.3245      6.2885      4.9003      5.2699      5.1734      4.2264      4.1601      3.9842      4.2887      4.2154      4.0225      4.3715      4.2838      4.0725      
2011-02-18     2.2430      2.6764      4.4763      2.7279      3.1683      5.1732      3.5010      4.0514      5.6957      4.4137      4.9495      6.2841      4.8062      5.1668      5.2007      4.2438      4.1901      4.0156      4.3077      4.2469      4.0555      4.3974      4.3211      4.1091      
