date	value	value_15	value_30	value_50	value_70	value_100
2015-12-16	1.403	1.4191853285614977	1.4291944113241288	1.4328350138311814	1.4254342871807006	1.3942368875556768
2015-12-23	1.412	1.4344236746174726	1.450686125738534	1.4625475740735507	1.4630617713618141	1.4427779292791565
2015-12-30	1.416	1.4344178403908678	1.4466207565196574	1.4530779689145679	1.4483117353776171	1.4205981274429598
2016-01-07	1.416	1.4160250123759608	1.4097265180046907	1.3917650077821166	1.36337905595509	1.3028815562221616
2016-01-14	1.422	1.4182128687968039	1.4080712996875184	1.385025457637992	1.3517079093855418	1.2843377874738662
2016-01-21	1.422	1.4127839354582876	1.3972075421222825	1.367029608551817	1.3268603789874602	1.2500681756203982
2016-01-28	1.421	1.402828657168558	1.378291734020997	1.336361791335186	1.2849104633313977	1.1926188528315607
2016-02-04	1.422	1.4093540184813318	1.3902228704772743	1.355191972468715	1.3101463653985843	1.2262521588946458
2016-02-18	1.4269999999999998	1.4165763934874367	1.3995717675788795	1.3671793373373986	1.3244948533507728	1.2435233160621761
2016-02-25	1.429	1.4121194519552325	1.3888562679444245	1.348569884739086	1.2986651569568903	1.2084355967639304
2016-03-03	1.432	1.4207397034053326	1.4028977551822008	1.3694076689653105	1.3256700594132722	1.2432506135805832
2016-03-10	1.436	1.4219494824326853	1.4013894949810513	1.3644495361336904	1.3175305213634032	1.230979001908917
2016-03-17	1.4380000000000002	1.4283600768963347	1.4120561821055015	1.3804545248514748	1.3383828288188917	1.2579765475865827
2016-03-24	1.442	1.4345074925066545	1.4202610997912044	1.3912167132583027	1.3514390211090257	1.2738841923461501
2016-03-31	1.4409999999999998	1.4352124848913412	1.4226199664587287	1.3956636991059876	1.3577985183440904	1.2827015725843103
2016-04-08	1.442	1.4348164755535766	1.4208445994607684	1.3921085925679941	1.3525707742971866	1.2752477047541129
2016-04-15	1.436	1.4333344639003216	1.4238311340929508	1.400868304014467	1.3667661708988688	1.2967002999727295
2016-04-22	1.43	1.4240768426741781	1.411401043033003	1.3844165378498452	1.3466178078991542	1.2717934733206069
2016-04-29	1.4269999999999998	1.4208964299227227	1.4080577218966612	1.3808869104009736	1.3429409933838707	1.2679756385783107
2016-05-09	1.431	1.4205622328994039	1.403429473455802	1.3707000944526966	1.3275091413439533	1.2455231342605215
2016-05-16	1.4340000000000002	1.424256232246656	1.407792752793108	1.3759013561996118	1.3334680768362577	1.2524315971275335
2016-05-23	1.43	1.4206382485351183	1.4045702337882113	1.3732171632352974	1.3313226802141116	1.2510680847195708
2016-05-30	1.4280000000000002	1.4180948194463838	1.401501060477945	1.3694870563184154	1.326991764617383	1.245977638396509
2016-06-06	1.429	1.4239929442551704	1.4122166967166088	1.3863843836541545	1.349659230979029	1.2762476138532857
2016-06-15	1.432	1.4241349207045844	1.4095372409837332	1.3800680268137904	1.3399281857601462	1.261976183983274
2016-06-22	1.439	1.4310680130902946	1.4163710227710244	1.3867219462516718	1.3463525315559366	1.2679756385783107
2016-06-29	1.443	1.435583870075416	1.4213743352423798	1.3923196225505552	1.3524684755898753	1.2747022997909279
2016-07-06	1.4469999999999998	1.4426533553053367	1.4314327772626185	1.4061668564768437	1.3697985473202974	1.2965184983183342
2016-07-13	1.4509999999999998	1.4496455416937526	1.4413383322451379	1.4197648810040915	1.3867902487081956	1.3178801927097532
2016-07-20	1.454	1.4504311257890317	1.43993916026367	1.4155513878042862	1.3799362315600936	1.307517498409235
2016-07-27	1.456	1.4512467091849355	1.4395842891103015	1.4136858142854136	1.3766497742041377	1.3023361512589762
2016-08-03	1.459	1.4527832170961354	1.4396726316116415	1.4119019920838638	1.3731015110471483	1.2964275974911366
2016-08-10	1.462	1.4574958836927583	1.4460513050008914	1.4203896843085306	1.3835244046854518	1.3093355149531853
2016-08-17	1.465	1.465700047735766	1.4593472394506457	1.4401778463330328	1.4093251450621167	1.3429688210162707
2016-08-24	1.464	1.4630623124282742	1.455107407441297	1.4338956942637497	1.401152060679294	1.33233342423416
2016-08-31	1.465	1.4638317903302445	1.4556458980059899	1.4341311037208402	1.401096648123169	1.3318789200981724
2016-09-07	1.4669999999999999	1.465823643273001	1.4576277768775208	1.43609684008922	1.4030427455368344	1.3337878374693204
2016-09-14	1.4680000000000002	1.4624403550363023	1.4499131225270818	1.42279320701148	1.3844867399073917	1.3082447050268151
2016-09-23	1.469	1.4648099809711819	1.4536298568410304	1.428238379620976	1.3915447810043509	1.3174256885737654
2016-09-30	1.4709999999999999	1.4656185768231873	1.4532528740516366	1.4263186769751288	1.3881601663511727	1.3120625397691112
2016-10-14	1.473	1.4694562395393347	1.458894125663167	1.4342680367723273	1.398256258292854	1.3249704572311602
2016-10-21	1.476	1.472908071098699	1.4627766691857564	1.4386818085771194	1.4031406051166735	1.3304245068630118
2016-10-28	1.475	1.4724843395558804	1.4629254380054169	1.4395740898825098	1.4047372936975084	1.3329697300245424
2016-11-04	1.475	1.473047702920216	1.4640427158290212	1.4414018386941292	1.4072278729713539	1.336333060630851
2016-11-11	1.475	1.4755994251509061	1.4691161502115269	1.4497293989139588	1.4186136028943017	1.3517862012544308
2016-11-18	1.473	1.4739012776654978	1.4677258993414672	1.4487514140701996	1.4180405450852658	1.3517862012544308
2016-11-25	1.474	1.4790882792003754	1.4770458632267562	1.463397258865789	1.4376828148587948	1.3780565403145162
2016-12-02	1.469	1.4751130400754124	1.4740915372024022	1.4617734254494708	1.43732562504993	1.3794200527224791
2016-12-09	1.4680000000000002	1.4728659636743187	1.4706017712971102	1.4566643004926019	1.4306771771604658	1.3706935733115164
2016-12-16	1.46	1.4601413200927524	1.453189564619237	1.4331752949202508	1.4014483576860635	1.3337878374693204
2016-12-23	1.462	1.4602975217332599	1.4514915543061349	1.429034941986758	1.3949561089104277	1.3240614489591849
2016-12-30	1.465	1.462961947336434	1.4538057037385466	1.4308681115059545	1.3963036277633272	1.3246977547495677
2017-01-06	1.465	1.4644538428413096	1.4567858016676696	1.4357898441674568	1.403073855968684	1.3339696391237155
2017-01-13	1.469	1.4666524598876294	1.457183355357362	1.4338313925471091	1.3988648735475064	1.3266975729479134
2017-01-20	1.4680000000000002	1.4672870607169082	1.4594394725463684	1.438188947402383	1.40520704478669	1.3356967548404686
2017-02-03	1.4680000000000002	1.4677217872692487	1.46030415182145	1.4396088248271348	1.407148916221915	1.3383328788291966
2017-02-10	1.469	1.470620236022443	1.4650769951214748	1.4467970563569852	1.4166021114326413	1.350786292155258
2017-02-17	1.4709999999999999	1.4727685145371823	1.4673623228331647	1.449244410089177	1.419184312837541	1.353513316971184
2017-02-24	1.473	1.4766962424781769	1.473188563281391	1.4575096491081458	1.4297279015087103	1.3670575402236154
2017-03-03	1.472	1.4739483544007128	1.4687097078524751	1.4507921597774018	1.4209020625351996	1.3554222343423319
2017-03-10	1.47	1.4722889820380805	1.4673988501215727	1.4499494096362457	1.4205204486723608	1.3556949368239246
2017-03-17	1.472	1.4748191042946728	1.4704464440319591	1.4536545439877706	1.4248311484227905	1.3607853831469858
2017-03-24	1.473	1.4774714618641935	1.4747372443917541	1.4600675199054767	1.4332463978477268	1.3718752840650845
2017-03-31	1.476	1.4787281879310965	1.4742456077510413	1.4572806437347396	1.4282581631909024	1.3638760112717019
2017-04-11	1.4780000000000002	1.4829386583208854	1.4806454506545492	1.4665123914742515	1.440157283310799	1.379329151895282
2017-04-18	1.476	1.4789283469309689	1.4746419097462873	1.4579273859241266	1.4291371105427395	1.36505772202527
2017-04-25	1.4709999999999999	1.4736522481945058	1.4691151218417464	1.4521117348903596	1.4230907416465597	1.3587855649486404
2017-05-03	1.472	1.4734437751211773	1.4676990915345913	1.4491172597626538	1.4185902864408408	1.3522407053904189
2017-05-10	1.466	1.4652368603841386	1.4573305829339822	1.4359905064732332	1.4029094479177777	1.3332424325061354
2017-05-17	1.465	1.4674270462072347	1.4626926112891612	1.4454740173973994	1.4162971478536739	1.3518771020816287
2017-05-24	1.465	1.467916611863451	1.463668179321229	1.4470799368008294	1.4184988380959034	1.354876829379147
2017-06-02	1.4669999999999999	1.4721488525092432	1.4701038034941771	1.456353842952038	1.4304327086534676	1.3703299700027267
2017-06-09	1.4680000000000002	1.4768904076143412	1.478574390580479	1.4696837112187573	1.448380728884432	1.394509590037269
2017-06-16	1.475	1.4811094019352513	1.479983771131492	1.4673733341084834	1.442467269126576	1.3836014907735659
2017-06-23	1.483	1.4921310193176078	1.4939816735803542	1.4851952183788546	1.4638603027549921	1.4096900281792561
2017-06-30	1.49	1.4999751544411737	1.502633946565862	1.4948493341214428	1.4744071362064717	1.4213253340605398
2017-07-07	1.492	1.5015765032942547	1.5038286955648048	1.4954999135010052	1.4745238969167351	1.420689028270157
2017-07-14	1.495	1.5065944544149095	1.510855286853216	1.5051400674430209	1.486643102934547	1.4361421688937368
2017-07-21	1.496	1.50860364766708	1.5138714816956056	1.5094703447043623	1.4922242586452232	1.443414235069539
2017-07-28	1.499	1.5109532945358266	1.515554233710155	1.510255135778211	1.4921222031468897	1.442050722661576
2017-08-04	1.5	1.5113583413685865	1.515343614464562	1.5092068892375634	1.4902372516563398	1.4389600945368601
2017-08-11	1.5	1.509059546430162	1.5107264450103177	1.501526205772607	1.479596453226847	1.4242341605308606
2017-08-18	1.501	1.5130249960791284	1.5176776221247283	1.5124151391678513	1.494281543266838	1.444141441687119
2017-08-25	1.501	1.5158488244294153	1.5233493302814851	1.5218500528069023	1.507352647510474	1.462230706299427
2017-09-01	1.5	1.5165235349339352	1.5257179952136046	1.526464721220551	1.5141462061522364	1.47204799563676
2017-09-08	1.501	1.5172002861366987	1.5260625583760161	1.5263608454565158	1.5135981813440667	1.4708662848831924
2017-09-15	1.505	1.5208343987034554	1.5293062683743868	1.5290559596536961	1.515725802669881	1.4721388964639577
2017-09-22	1.506	1.5218904212608246	1.5304139731794582	1.530224609129656	1.5169449362720038	1.473411508044723
2017-09-29	1.507	1.5226935962484567	1.5310129168894229	1.530544908445619	1.516985964267265	1.473047904735933
2017-10-13	1.5090000000000001	1.5276682591948667	1.5389893343963412	1.5424909453961504	1.5327711813870173	1.4941368966457593
2017-10-20	1.5090000000000001	1.5277663951413316	1.539186865023441	1.5428204771247036	1.5332290150915147	1.4947732024361422
2017-10-27	1.5090000000000001	1.5314675222651426	1.5466365915312088	1.55524853088728	1.5504958862325555	1.5187710208162895
2017-11-03	1.507	1.5283924618605005	1.5424812630156517	1.5496715327621393	1.543551807467925	1.5099536405781293
2017-11-10	1.506	1.5322322805495214	1.5512568273018887	1.5650547497718548	1.565417922697752	1.5409508226524862
2017-11-17	1.504	1.5305492351755077	1.5499069095741458	1.5641657394246948	1.5649979797570597	1.5412235251340787
2017-11-24	1.4969999999999999	1.5238381350943717	1.5435259202739333	1.5582802725177163	1.5596591745790394	1.5367693846014001
2017-12-01	1.4969999999999999	1.5198255567720624	1.5354254718595546	1.5447136535034627	1.5407368145503197	1.5103172438869195
2017-12-08	1.501	1.523442049963999	1.5386300263695092	1.5473352253759343	1.5427508202085058	1.51140805381329
2017-12-15	1.501	1.5225913501338466	1.536911163066675	1.5444531234644923	1.5387262654235836	1.505772202527043
2017-12-22	1.5	1.5243765359763441	1.5415438503642749	1.552908891377707	1.5509455501033076	1.5233160621761659
2017-12-29	1.501	1.524169261109129	1.5400993772574156	1.5497989576550701	1.546191165427875	1.5162257976547588
2018-01-05	1.504	1.5309010693911125	1.5506293624033507	1.5654029304618917	1.5667615955812102	1.5437687482956095
2018-01-12	1.505	1.5349372905508427	1.5577674533660695	1.5767027122314534	1.5821552844025781	1.5649486410326334
2018-01-19	1.505	1.5369521629364753	1.561844205127022	1.58355102003847	1.5917358537429562	1.5784019634578674
2018-01-26	1.507	1.5422337347217827	1.5704735349511407	1.5966647518178745	1.6092528481777348	1.6021270793564222
2018-02-02	1.5090000000000001	1.5397276411324856	1.5633508714963922	1.5833288412229605	1.5897833581463714	1.5739478229251886
2018-02-09	1.5119999999999998	1.5268902481403313	1.5341908169308598	1.5320467175471708	1.5164841642706912	1.469048268339242
2018-02-23	1.515	1.5378653247527474	1.5533613736233172	1.5622887440967301	1.5577051252724186	1.5259521861648941
2018-03-02	1.5190000000000001	1.5395018274483214	1.5525568140539956	1.5581692760536723	1.5502801092003475	1.5137714753204254
2018-03-09	1.5219999999999998	1.5455944133635615	1.561784013680728	1.5715630720897957	1.5677272798615858	1.5368602854285975
2018-03-16	1.5230000000000001	1.5444964871388147	1.5585440096704675	1.5654520019487197	1.5587961342710603	1.5239523679665485
2018-03-23	1.526	1.541313136283273	1.5490469060121266	1.5474920504250134	1.5325231752339865	1.485955822197982
2018-03-30	1.53	1.544168256986458	1.5507152519125476	1.547542885141826	1.5309549441986894	1.4820470866284885
2018-04-10	1.536	1.55048346898242	1.5573120213804024	1.5544557512600998	1.5381089186549313	1.489410053631488
2018-04-17	1.54	1.5473796860487083	1.5470289682827152	1.5346663431233962	1.5091154337547956	1.4476865739478229
2018-04-24	1.544	1.5541126162540981	1.5564958596305332	1.5477107016134553	1.5255747886973317	1.4687755658576491
2018-05-03	1.5430000000000001	1.5514021096383046	1.5520573319791922	1.5409847519940578	1.516635000479279	1.4567766566675757
2018-05-10	1.5430000000000001	1.5552365360185239	1.5597239479446556	1.5536592262802236	1.5340822924951405	1.4806835742205255
2018-05-17	1.5419999999999998	1.5533182094394997	1.5568928479774744	1.5496430561756083	1.5289456143321267	1.4740478138351059
2018-05-24	1.5419999999999998	1.5520060483207936	1.5542692911832092	1.545305783606198	1.5229750581289803	1.4658667393873286
2018-05-31	1.5419999999999998	1.5511895925135986	1.5526368558445554	1.542607036229676	1.5192600453803555	1.460776293064267
2018-06-07	1.5419999999999998	1.5524526234246927	1.5551640832121003	1.5467892499273472	1.525022924599265	1.4686846650304517
2018-06-14	1.5419999999999998	1.550386617121749	1.5510317612959295	1.5399543436027197	1.5156096069693086	1.455776747568403
2018-06-22	1.5430000000000001	1.5454503110827305	1.5401532392444133	1.521296121804057	1.489520197932935	1.419598218343787
2018-06-29	1.545	1.5438562735566286	1.534954583664629	1.5113674366483725	1.4750609413492393	1.3989637305699483
2018-07-05	1.55	1.5416459096439388	1.5255616946199082	1.4926255087132265	1.4474502210777596	1.3594218707390238
2018-07-12	1.5530000000000002	1.5500859693041598	1.5393354330040856	1.5132091657331834	1.4743414724604518	1.3945095900372695
2018-07-19	1.556	1.5510229563731899	1.5382287405859048	1.509460146285798	1.4681059922682518	1.384965003181529
2018-07-26	1.5630000000000002	1.5612471743671859	1.5515876122524588	1.5267796192150596	1.4890446460391882	1.4105081356240343
2018-08-02	1.571	1.5614418734623787	1.5440712818494213	1.5093262071754583	1.462278203266002	1.3714207799290974
2018-08-09	1.5759999999999998	1.5668405624042026	1.5498360809762624	1.5155195321787167	1.4688224518955	1.3783292427961096
2018-08-16	1.574	1.5603014821264927	1.538849684397519	1.498859440760807	1.4469120954381145	1.3496045814016908
2018-08-23	1.575	1.5630343060029726	1.5432790987496348	1.5054514029628248	1.4555029774651422	1.3607853831469865
2018-08-30	1.577	1.5660923979504213	1.547366096649605	1.5108387813500286	1.4620791842717291	1.3688755567675666
2018-09-06	1.579	1.56429704643811	1.5418522292374008	1.5005804966023626	1.447428389971067	1.3485137714753206
2018-09-13	1.579	1.5632938143335606	1.5398714279907963	1.4973607440885495	1.4430711994590402	1.3426961185346789
2018-09-20	1.58	1.5671939513254494	1.546592374436466	1.5076486044927386	1.4566240537212098	1.3604217798381966
