date	value_zq	value_hs300
2013-01-14	1.069	1.109
2013-01-15	1.073	1.1152
2013-01-16	1.075	1.1085
2013-01-17	1.075	1.1004
2013-01-18	1.077	1.1156
2013-01-21	1.079	1.1198
2013-01-22	1.08	1.1152
2013-01-23	1.079	1.119
2013-01-24	1.079	1.1105
2013-01-25	1.079	1.1068
2013-01-28	1.08	1.1343
2013-01-29	1.081	1.1426
2013-01-30	1.083	1.1466
2013-01-31	1.093	1.1459
2013-02-01	1.094	1.1651
2013-02-04	1.095	1.1667
2013-02-05	1.095	1.1745
2013-02-06	1.097	1.1759
2013-02-07	1.097	1.1704
2013-02-08	1.097	1.1742
2013-02-18	1.1	1.1627
2013-02-19	1.1	1.1453
2013-02-20	1.102	1.151
2013-02-21	1.105	1.1194
2013-02-22	1.106	1.1147
2013-02-25	1.106	1.1177
2013-02-26	1.105	1.1051
2013-02-27	1.105	1.114
2013-02-28	1.106	1.1408
2013-03-01	1.106	1.1393
2013-03-04	1.105	1.0977
2013-03-05	1.107	1.124
2013-03-06	1.108	1.1333
2013-03-07	1.108	1.1228
2013-03-08	1.109	1.1186
2013-03-11	1.109	1.1136
2013-03-12	1.11	1.1008
2013-03-13	1.11	1.0912
2013-03-14	1.11	1.0935
2013-03-15	1.111	1.0954
2013-03-18	1.111	1.0829
2013-03-19	1.112	1.0907
2013-03-20	1.113	1.1197
2013-03-21	1.114	1.1214
2013-03-22	1.115	1.1225
2013-03-25	1.117	1.1206
2013-03-26	1.116	1.1078
2013-03-27	1.116	1.1107
2013-03-28	1.115	1.0819
2013-03-29	1.115	1.0804
2013-04-01	1.116	1.0794
2013-04-02	1.118	1.0771
2013-04-03	1.12	1.0762
2013-04-08	1.121	1.0721
2013-04-09	1.123	1.0778
2013-04-10	1.124	1.0764
2013-04-11	1.125	1.0738
2013-04-12	1.126	1.0685
2013-04-15	1.128	1.06
2013-04-16	1.128	1.0676
2013-04-17	1.129	1.0671
2013-04-18	1.128	1.0693
2013-04-19	1.128	1.0928
2013-04-22	1.125	1.0917
2013-04-23	1.121	1.0641
2013-04-24	1.123	1.0797
2013-04-25	1.126	1.0703
2013-04-26	1.128	1.0634
2013-05-02	1.127	1.064
2013-05-03	1.128	1.0788
2013-05-06	1.128	1.0899
2013-05-07	1.131	1.0913
2013-05-08	1.132	1.0955
2013-05-09	1.132	1.0904
2013-05-10	1.133	1.0949
2013-05-13	1.135	1.0915
2013-05-14	1.135	1.0782
2013-05-15	1.136	1.0833
2013-05-16	1.137	1.0994
2013-05-17	1.138	1.1125
2013-05-20	1.139	1.1187
2013-05-21	1.138	1.1204
2013-05-22	1.138	1.1218
2013-05-23	1.138	1.1101
2013-05-24	1.139	1.1151
2013-05-27	1.139	1.116
2013-05-28	1.141	1.1311
2013-05-29	1.142	1.1303
