date	value_zq	value_hs300
2016-04-29	1.427	1.3949
2016-05-09	1.431	1.3702
2016-05-16	1.434	1.3778
2016-05-23	1.43	1.3763
2016-05-30	1.428	1.3707
2016-06-06	1.429	1.404
2016-06-15	1.432	1.3883
2016-06-22	1.439	1.3949
2016-06-29	1.443	1.4023
2016-07-06	1.447	1.4263
2016-07-13	1.451	1.4498
2016-07-20	1.454	1.4384
2016-07-27	1.456	1.4327
2016-08-03	1.459	1.4262
2016-08-10	1.462	1.4404
2016-08-17	1.465	1.4774
2016-08-24	1.464	1.4657
2016-08-31	1.465	1.4652
2016-09-07	1.467	1.4673
2016-09-14	1.468	1.4392
2016-09-23	1.469	1.4493
2016-09-30	1.471	1.4434
2016-10-14	1.473	1.4576
2016-10-21	1.476	1.4636
2016-10-28	1.475	1.4664
2016-11-04	1.475	1.4701
2016-11-11	1.475	1.4871
2016-11-18	1.473	1.4871
2016-11-25	1.474	1.516
2016-12-02	1.469	1.5175
2016-12-09	1.468	1.5079
2016-12-16	1.46	1.4673
2016-12-23	1.462	1.4566
2016-12-30	1.465	1.4573
2017-01-06	1.465	1.4675
2017-01-13	1.469	1.4595
2017-01-20	1.468	1.4694
2017-02-03	1.468	1.4723
2017-02-10	1.469	1.486
2017-02-17	1.471	1.489
2017-02-24	1.473	1.5039
2017-03-03	1.472	1.4911
2017-03-10	1.47	1.4914
2017-03-17	1.472	1.497
2017-03-24	1.473	1.5092
2017-03-31	1.476	1.5004
2017-04-11	1.478	1.5174
2017-04-18	1.476	1.5017
2017-04-25	1.471	1.4948
2017-05-03	1.472	1.4876
2017-05-10	1.466	1.4667
2017-05-17	1.465	1.4872
2017-05-24	1.465	1.4905
2017-06-02	1.467	1.5075
2017-06-09	1.468	1.5341
2017-06-16	1.475	1.5221
2017-06-23	1.483	1.5508
2017-06-30	1.49	1.5636
2017-07-07	1.492	1.5629
2017-07-14	1.495	1.5799
2017-07-21	1.496	1.5879
2017-07-28	1.499	1.5864
2017-08-04	1.5	1.583
2017-08-11	1.5	1.5668
2017-08-18	1.501	1.5887
2017-08-25	1.501	1.6086
2017-09-01	1.5	1.6194
2017-09-08	1.501	1.6181
2017-09-15	1.505	1.6195
2017-09-22	1.506	1.6209
2017-09-29	1.507	1.6205
2017-10-13	1.509	1.6437
2017-10-20	1.509	1.6444
2017-10-27	1.509	1.6708
2017-11-03	1.507	1.6611
2017-11-10	1.506	1.6952
2017-11-17	1.504	1.6955
2017-11-24	1.497	1.6906
2017-12-01	1.497	1.6615
2017-12-08	1.501	1.6627
2017-12-15	1.501	1.6565
2017-12-22	1.5	1.6758
2017-12-29	1.501	1.668
2018-01-05	1.504	1.6983
2018-01-12	1.505	1.7216
2018-01-19	1.505	1.7364
2018-01-26	1.507	1.7625
2018-02-02	1.509	1.7315
2018-02-09	1.512	1.6161
2018-02-23	1.515	1.6787
2018-03-02	1.519	1.6653
2018-03-09	1.522	1.6907
2018-03-16	1.523	1.6765
2018-03-23	1.526	1.6347
2018-03-30	1.53	1.6304
2018-04-10	1.536	1.6385
2018-04-17	1.54	1.5926
2018-04-24	1.544	1.6158
2018-05-03	1.543	1.6026
2018-05-10	1.543	1.6289
2018-05-17	1.542	1.6216
2018-05-24	1.542	1.6126
2018-05-31	1.542	1.607
2018-06-07	1.542	1.6157
2018-06-14	1.542	1.6015
2018-06-22	1.543	1.5617
2018-06-29	1.545	1.539
2018-07-05	1.55	1.4955
2018-07-12	1.553	1.5341
2018-07-19	1.556	1.5236
2018-07-26	1.563	1.5517
2018-08-02	1.571	1.5087
2018-08-09	1.576	1.5163
2018-08-16	1.574	1.4847
2018-08-23	1.575	1.497
2018-08-30	1.577	1.5059
2018-09-06	1.579	1.4835
2018-09-13	1.579	1.4771
2018-09-20	1.58	1.4966
2018-09-28	1.583	1.531
2018-10-12	1.587	1.4594
2018-10-19	1.589	1.4487
2018-10-26	1.591	1.4591
2018-11-02	1.593	1.491
2018-11-09	1.597	1.4595
2018-11-16	1.602	1.4839
2018-11-23	1.604	1.4535
2018-11-30	1.606	1.4613
2018-12-07	1.608	1.4638
2018-12-14	1.609	1.46
2018-12-21	1.609	1.4239
2018-12-28	1.611	1.4187
2019-01-07	1.617	1.4303
2019-01-14	1.621	1.4337
2019-01-21	1.623	1.4648
2019-01-28	1.624	1.4643
2019-02-11	1.628	1.4968
2019-02-18	1.632	1.5341
2019-02-25	1.633	1.6088
2019-03-04	1.632	1.6261
2019-03-11	1.634	1.6086
2019-03-18	1.634	1.6409
2019-03-25	1.637	1.6118
2019-04-01	1.639	1.6726
2019-04-09	1.638	1.6994
2019-04-16	1.638	1.7007
2019-04-23	1.639	1.6843
2019-04-30	1.639	1.657
2019-05-10	1.645	1.6092
2019-05-17	1.65	1.5882
2019-05-24	1.651	1.5753
2019-05-31	1.652	1.5866
2019-06-10	1.654	1.5823
2019-06-17	1.653	1.5948
2019-06-24	1.656	1.6441
2019-06-30	1.657	1.6421
2019-07-05	1.66	1.6608
2019-07-12	1.661	1.6423
2019-07-19	1.662	1.6431
2019-07-26	1.665	1.6571
2019-08-02	1.668	1.6285
2019-08-09	1.671	1.5994
2019-08-16	1.674	1.6198
2019-08-23	1.675	1.6485
2019-08-30	1.676	1.643
2019-09-06	1.677	1.6822
2019-09-16	1.679	1.6844
2019-09-23	1.679	1.6669
2019-09-30	1.68	1.6469
2019-10-14	1.683	1.683
2019-10-21	1.683	1.6639
2019-10-28	1.683	1.6756
2019-11-04	1.682	1.689
