date	value	value_30%	value_50%	value_70%	value_100%
2013-08-23	1.0	1.0	1.0	1.0	0.9999999999999999
2013-09-16	1.0062949640287768	1.006213836760518	1.0061570183526025	1.006098013094759	1.006005404864378
2013-09-25	1.0071942446043165	1.0084606764170045	1.0093041915611436	1.0101470876211782	1.011410269242318
2013-10-09	1.0089928057553956	1.0190717727800036	1.0258266175616906	1.0326099623759855	1.0428385546992294
2013-10-16	1.008093525179856	1.0253107702569646	1.0367861339720439	1.0482583265570717	1.0654589130217196
2013-10-23	1.008093525179856	1.0228270336511713	1.0325582556294544	1.042213951296265	1.0565508958062257
2013-10-30	1.003597122302158	1.0073580867712082	1.0093722179315983	1.0109806449169794	1.0126113502151937
2013-11-06	1.0044964028776977	0.9982634035705759	0.993632985550653	0.9886205934854825	0.9803823441096987
2013-11-13	0.9991007194244603	0.9906626999799641	0.9845796486025278	0.9781305594991689	0.9677709938945049
2013-11-20	0.9910071942446044	0.9979119910066669	1.001982782813646	1.005613742598831	1.0102091882694426
2013-11-27	0.9838129496402878	0.9906784161649612	0.9947255974016218	0.998335113272697	1.002902612351116
2013-12-04	0.9874100719424459	0.9981487320805533	1.0047970180338988	1.011018765359216	1.0195175658092281
2013-12-11	0.9838129496402878	0.9932999334941763	0.9990929883070194	1.0044440846143048	1.011610449404464
2013-12-18	0.981115107913669	0.9827111740282553	0.9831471258301914	0.9830717207372761	0.9819837854068661
2013-12-25	0.976618705035971	0.9783156966331463	0.97881274514407	0.9787934000182028	0.9777800020018016
2014-01-02	0.976618705035971	0.9808654456248187	0.9830376053601682	0.984670605226966	0.9860874787308577
2014-01-09	0.9721223021582733	0.964965236794378	0.9595031353440389	0.9534912146759482	0.9434491041937744
2014-01-16	0.9667266187050358	0.9648313014739867	0.9628501982560312	0.9602906265413113	0.9553598238414572
2014-01-23	0.9694244604316546	0.9667152042266116	0.9641926610281055	0.9610937127435507	0.9553598238414572
2014-01-30	0.9748201438848921	0.9576786210882695	0.9456419209392036	0.9331343601392892	0.9135221699529575
2014-02-13	0.9829136690647481	0.9752020335662888	0.9692776579293743	0.9627313196212379	0.9517565809228304
2014-02-20	0.9910071942446044	0.9879107322534231	0.985018463732541	0.9814614498511435	0.9748773896506857
2014-02-27	0.9973021582733812	0.9724771463705778	0.955236863552607	0.9374758133965709	0.9099189270343309
2014-03-06	0.9928057553956835	0.9787582233867547	0.9684302546726916	0.9573481397376926	0.9393454108697827
2014-03-13	0.9955035971223021	0.9885027746208273	0.9827313810854386	0.976080595721747	0.9644680212190971
2014-03-20	0.9964028776978415	0.9785518254874792	0.9657202180000701	0.9521679683921848	0.9305374837353617
2014-03-27	0.9973021582733812	0.9771685471304621	0.9628695863417778	0.9478972322136221	0.924231808627765
2014-04-03	0.9982014388489209	0.9799503020206906	0.9668710822198036	0.9530868302985367	0.9311380242217996
2014-04-11	1.0044964028776977	1.0001183908066	0.9960255440626014	0.9909924132444781	0.9816835151636473
2014-04-18	1.0116906474820142	1.0030878689841352	0.9962108772537258	0.9884284481185837	0.9750775698128314
2014-04-25	1.0152877697841725	0.9921464265384607	0.9757977684617549	0.9587494602789344	0.9319387448703833
2014-05-06	1.0188848920863307	0.9960787328778677	0.9799382408082219	0.9630853304038339	0.9365428885997397
2014-05-13	1.0287769784172662	1.0020834045624207	0.9834404376674047	0.9641628728756808	0.9341407266539886
2014-05-20	1.0305755395683451	0.9910743587190565	0.9643150781557255	0.9372762406454795	0.8963066760084075
2014-05-27	1.0341726618705034	0.9992360319208492	0.9753084064661162	0.9509291078534274	0.9136222600340306
2014-06-04	1.0422661870503596	0.9984867221625998	0.9690085352622131	0.9393633783389581	0.8947052347112401
2014-06-11	1.0485611510791364	1.006985615036037	0.9788589144222178	0.9504700041932008	0.9075167650885796
2014-06-18	1.0467625899280575	1.0030400488211613	0.9735880251220019	0.9439596681752457	0.8993093784405964
2014-06-25	1.0521582733812946	1.0078977003969407	0.9781010531126588	0.9481397684507076	0.9030127114402963
2014-07-02	1.0557553956834531	1.0158611197663676	0.9887573266086103	0.9613125281567412	0.9196276648984085
2014-07-09	1.0557553956834531	1.0128307199524302	0.9838316049036515	0.954594577463826	0.9104193774396957
2014-07-16	1.0593525179856111	1.026440530663123	1.0036594478715861	0.9802672853459045	0.9441497347612852
2014-07-23	1.0593525179856111	1.0318306066198992	1.0124568982644997	0.9923150100865602	0.9607646882193974
2014-07-30	1.0656474820143882	1.045016517285958	1.0300129754850014	1.014050106707279	0.988389550595536
2014-08-06	1.0692446043165464	1.0574498547251567	1.0481070493075806	1.03760246146473	1.0197177459713742
2014-08-13	1.0746402877697838	1.0628669729868296	1.0535296358203952	1.0430233661747539	1.0251226103493143
2014-08-20	1.078237410071942	1.0680958713822788	1.0598174859963994	1.0503428179141525	1.0339305374837353
2014-08-27	1.0818345323741003	1.063051734123538	1.049133677856842	1.034138422180013	1.0097087378640774
2014-09-03	1.0872302158273377	1.0781904119678256	1.0705687819612337	1.0616868920671347	1.046041437293564
2014-09-11	1.0881294964028771	1.0799379369533466	1.0728514199484147	1.064478524751018	1.049544590131118
2014-09-18	1.090827338129496	1.0798844332714015	1.0709661629050944	1.0607715156058026	1.0431388249424483
2014-09-25	1.0944244604316542	1.085130699834977	1.0772747457421246	1.068108406089473	1.051946752076869
2014-10-09	1.098920863309352	1.0972483299602447	1.0943818013970361	1.090110091579197	1.0810729656691023
2014-10-16	1.105215827338129	1.0905102751239215	1.0790373212399693	1.0662634989517812	1.0447402662396157
