时间	总资产	归属于本行股东权益	归属于本行普通股股东的每股 净资产（人民币元）	扣除非经常性损益后归属于 本行普通股股东的基本每股 收益（人民币元）	年化后扣除非经常性损益的 归属于本行普通股股东的加 权平均净资产收益率(%)
2018 年 9 月 30 日	"6,508,681"	"525,636"	19.49	2.64	18.97
					
					
					
2017 年 12 月 31 日	"6,297,638"	"480,210"	17.69	2.32	18.49
