时间	研究生招生数(万人)	博士招生数(万人)	硕士招生数(万人)	普通本科、专科生招生数(万人)	普通本科招生数(万人)	普通专科招生数(万人)	成人本科、专科生招生数(万人)	成人本科招生数(万人)	成人专科招生数(万人)	网络本科、专科生招生数(万人)	网络本科招生数(万人)	网络专科招生数(万人)	在职人员攻读博士硕士学位招生数(万人)	自考助学班招生数(万人)	留学生招生数(万人)	研究生在校学生数(万人)	博士在校学生数(万人)	硕士在校学生数(万人)	普通本科、专科生在校学生数(万人)	普通本科在校学生数(万人)	普通专科在校学生数(万人)	成人本科、专科生在校学生数(万人)	成人本科在校学生数(万人)	成人专科在校学生数(万人)	网络本科、专科生在校学生数(万人)	网络本科在校学生数(万人)	网络专科在校学生数(万人)	在职人员攻读博士、硕士学位在校学生数(万人)	电大注册视听生在校学生数(万人)	自考助学班在校学生数(万人)	研究生课程进修班在校学生数(万人)	普通预科生在校学生数(万人)	进修及培训在校学生数(万人)	留学生在校学生数(万人)	研究生毕(结)业生数(万人)	博士毕(结)业生数(万人)	硕士毕(结)业生数(万人)	普通本科、专科生毕(结)业生数(万人)	普通本科毕(结)业生数(万人)	普通专科毕(结)业生数(万人)	成人本科、专科生毕(结)业生数(万人)	成人本科毕(结)业生数(万人)	成人专科毕(结)业生数(万人)	网络本科、专科生毕(结)业生数(万人)	网络本科毕(结)业生数(万人)	网络专科毕(结)业生数(万人)	学历文凭考试毕(结)业生数(万人)	电大注册视听生毕(结)业生数(万人)	自考助学班毕(结)业生数(万人)	研究生课程进修班毕(结)业生数(万人)	普通预科生毕(结)业生数(万人)	进修及培训毕(结)业生数(万人)	留学生毕(结)业生数(万人)	研究生授予学位数(万人)	博士授予学位数(万人)	硕士授予学位数(万人)	普通本科、专科生授予学位数(万人)	普通本科授予学位数(万人)	成人本科、专科生授予学位数(万人)	成人本科授予学位数(万人)	网络本科、专科生授予学位数(万人)	网络本科授予学位数(万人)	在职人员攻读博士硕士学位授予学位数(万人)	留学生授予学位数(万人)
2008年	44.6422	5.9764	38.6658	607.7	297.0601	310.6	202.5552	83.1362	119.419	147.2194	53.5914	93.628	13.337	33.5598	7.1294	128.3046	23.6617	104.6429	2021.0	1104.2207	916.8	548.2949	235.2832	313.0117	355.895	144.6709	211.2241	39.3816	0.4934	92.754	5.6185	2.6029	170.8581	10.687	34.4825	4.3759	30.1066	512.0	225.6783	286.27	169.0944	68.4506	100.6438	90.1522	40.3824	49.7698		0.1398	21.4769	4.5457		411.9157	5.2745	34.1154	4.2217	29.8937	208.2558	208.2558	9.6438	9.6438	2.6149	2.6149	8.6728	0.7406
2007年	41.8612	5.8022	36.059	565.9	282.0971	283.82	191.1132	82.0858	109.0274	123.4385	49.7993	73.6392	12.6884			119.5047	22.2508	97.2539	1884.9	1024.303	860.59	524.155	222.7218	301.4332	310.48	136.9091	173.5709	34.6068							31.1839	4.1464	27.0375	447.8	199.5944	248.2	176.44	67.489	108.951	82.8225	37.7161	45.1064	6.0844										182.0516							
2006年	39.7925	5.5955	34.197	546.1	253.0854	292.97	184.4431	77.7677	106.6754	113.2516	50.953	62.2986	10.9245			110.4653	20.8038	89.6615	1738.8	943.3395	795.5	524.8765	212.0297	312.8468	279.2945	129.6893	149.6052	29.91							25.5902	3.6247	21.9655	377.5	172.6674	204.8	81.5163	21.8303	59.686	88.5117	43.6707	44.841	7.6377										156.5549							
2005年	36.4831	5.4794	31.0037	504.5	236.3647	268.09	193.025	74.7196	118.3054	89.1046	40.8606	48.244	10.1653			97.861	19.1317	78.7293	1561.8	848.8188	712.96	436.0705	161.114	274.9565	265.2679	127.2292	138.0387	25.4672							18.9728	2.7677	16.2051	306.8	146.5786	160.22	166.7889	55.5799	111.209	75.9627	39.231	36.7317	9.4202										130.9692							
2004年	32.6286	5.3284	27.3002	447.3	209.9151	237.4	221.158	75.9434	145.2146	83.9325	42.7811	41.1514	7.8171			81.9896	16.561	65.4286	1333.5	737.8436	595.65	419.7956	141.5954	278.2002	236.5908	127.0458	109.545	20.1448							15.0777	2.3446	12.7331	239.1	119.629	119.49	189.6152	54.0356	135.5796	39.3715	21.1728	18.1987	11.0559																	
2003年	26.8925			382.2	182.5262	199.6										65.126			1108.6	629.2089	479.4														11.1091			187.7	92.9598	94.8																								
2002年	20.2611			320.5	158.7939	89.05										50.098			903.4	527.0845	193.41														8.0841			133.7	65.5763	27.73																								
2001年	16.5197			268.3	138.1835	66.56										39.3256			719.1	424.3744	146.79														6.7809			103.6	56.7839	19.34																								
2000年	12.8484			220.6	116.0191	48.69										30.1239			556.1	340.0181	100.87														5.8767			95.0	49.5624	17.85																								
1999年	9.2225			159.68	93.669	61.1864										23.3513			413.42	272.4421	136.1453														5.467			84.76	44.0935	40.6682																								
1998年	7.2508			108.3627	65.3135	43.0492										19.8885			340.8764	223.4647	117.4117														4.7077			82.9833	40.4666	42.5167																								
1997年	6.3749			100.0393		42.0714										17.6353			317.4362		118.8237														4.6539			82.907		44.7423																								
1996年	5.9398			96.5812		46.0489										16.3322			302.1079		122.6449														3.9652			83.8638		49.1444																								
1995年	5.1053			92.6		47.8131										14.5443			290.6		126.8229														3.1877			80.5		47.9913																								
1994年	5.0864			89.9846		49.0247										12.7935			279.8639		128.1768														2.8047			63.7417		32.7126																								
1993年	4.2145			92.3952		53.7494										10.6771			253.5517		111.816														2.8214			57.0715		27.1756																								
1992年	3.3439			75.4192		40.4345										9.4164			218.4376		85.4949														2.5692			60.4223		27.2089																								
1991年	2.9679			61.9874		29.0372										8.8128			204.3662		72.3658														3.2537			61.4267		29.0833																								
1990年	2.9649			60.9		29.1668										9.3018			206.3		74.2571														3.544			61.4		30.5749																								
1989年	2.8569			59.7113		29.6617										10.1339			208.2111		76.0921														3.7232			57.6242		26.7312																								
1988年	3.5645			66.97		32.8709										11.2776			206.5923		73.0703														4.0838			55.3466		27.3675																								
1987年	3.9017			61.68		28.4457										12.0191			195.87		68.092														2.7603			53.19		27.8957																								
1986年	4.131			57.2		25.9931										11.0371			187.9994		67.5267														1.695			39.28		16.5028																								
1985年	4.6871			61.9		30.1598										8.7331			170.3		58.0472														1.7004			31.6		14.4499																								
1984年	2.3181			47.5171		19.069										5.7566			139.5656		38.7935														0.2756			28.6937		8.2689																								
1983年	1.5642			39.1		13.4581										3.7166			120.6823		27.7504														0.4497			33.5344		8.2773																								
1982年	1.108			31.5		8.4405										2.5847			115.3954		22.5053														0.4058			45.7244		8.9027																								
1981年	0.9363			27.9		7.63										1.8848			127.9472		21.8827														1.1669			13.964		13.9528																								
1980年	0.3616			28.1		7.7088										2.1604			114.4		28.1786														0.0476			14.7																										
1979年	0.811			27.5		7.0889										1.883			101.995		34.8476														0.014			8.5085																										
1978年	1.0708			40.2		12.3712										1.0934			85.6		37.9586														0.0009			16.5		0.779																								
1977年				27.3												0.0226			62.5																			19.4																										
1976年				21.7															56.5																			14.9																										
1975年				19.1															50.1																			11.9																										
1974年				16.5															43.0																			4.3																										
1973年				15.0															31.4																			3.0																										
1972年				13.4															19.4																			1.7																										
1971年				4.2															8.3																			0.6																										
1970年				4.2															4.8																			10.3																										
1969年																			10.9																0.1317			15.0																										
1968年																0.1317			25.9																0.124			15.0																										
1967年																0.2557			40.9																0.0852			12.5																										
1966年																0.3409			53.4																0.1137			14.1																										
1965年	0.1456			16.4												0.4546			67.4																0.1665			18.6																										
1964年	0.124			14.7												0.4881			68.5																0.0895			20.4																										
1963年	0.0781			13.3												0.4938			75.0																0.1512			19.9																										
1962年	0.1287			10.7												0.613			83.0																0.1019			17.7																										
1961年	0.2198			16.9												0.6009			94.7																0.0179			15.1																										
1960年	0.2275			32.3												0.3635			96.2																0.0589			13.6																										
1959年	0.1345			27.4												0.2171			81.2																0.0727			7.0																										
1958年	0.0275			26.5												0.1635			66.0																0.1113			7.2																										
1957年	0.0334			10.6												0.3178			44.1																0.1723			5.6																										
1956年	0.2235			18.5												0.4841			40.3																0.2349			6.3																										
1955年	0.1751			9.8												0.4822			28.8																0.173			5.5																										
1954年	0.1155			9.2												0.4753			25.3																0.066			4.7																										
1953年	0.2887			8.1												0.4249			21.2																0.1177			4.8																										
1952年	0.1785			7.9												0.2763			19.1																0.0627			3.2																										
1951年	0.1273			5.2												0.2168			15.3																0.0166			1.9																										
1950年	0.0874			5.8												0.1261			13.7																0.0159			1.8																										
1949年	0.0242			3.1												0.0629			11.7																0.0107			2.1																										
