2017年12月24日	6,250.82	6,244.86	6,257.02	6,148.10	306.18K	0.13%
2017年12月17日	6,242.88	6,229.74	6,269.31	6,148.82	278.48K	0.11%
2017年12月10日	6,235.76	6,214.64	6,290.85	6,214.64	285.78K	0.53%
2017年12月3日	6,203.14	6,311.22	6,334.87	6,053.24	298.82K	-1.79%
2017年11月26日	6,316.41	6,269.23	6,329.18	6,186.03	308.08K	0.61%
2017年11月19日	6,278.03	6,330.90	6,483.63	6,239.32	342.78K	-1.32%
2017年11月12日	6,361.94	6,644.69	6,673.75	6,359.52	400.25K	-4.21%
2017年11月5日	6,641.22	6,432.07	6,647.23	6,408.36	361.73K	3.33%
2017年10月29日	6,426.98	6,621.78	6,629.30	6,395.46	346.47K	-3.07%
2017年10月22日	6,630.81	6,569.79	6,686.12	6,556.34	321.13K	0.90%
2017年10月15日	6,571.42	6,709.87	6,709.87	6,485.81	351.76K	-2.06%
2017年10月8日	6,709.82	6,682.58	6,711.93	6,611.97	415.06K	1.62%
2017年10月1日	6,603.09	6,603.09	6,603.09	6,603.09	-	-0.00%
2017年9月24日	6,603.26	6,560.14	6,611.65	6,482.29	366.33K	0.48%
2017年9月17日	6,572.01	6,616.13	6,692.71	6,547.28	468.52K	-0.76%
2017年9月10日	6,622.04	6,579.89	6,715.39	6,566.28	572.50K	0.73%
2017年9月3日	6,574.18	6,530.51	6,614.10	6,519.79	521.61K	0.73%
2017年8月27日	6,526.50	6,348.87	6,530.90	6,348.87	490.30K	2.84%
2017年8月20日	6,346.53	6,354.10	6,404.05	6,267.23	394.35K	-0.02%
2017年8月13日	6,347.76	6,165.13	6,366.25	6,165.13	451.97K	3.03%
2017年8月6日	6,161.19	6,227.52	6,341.48	6,153.60	574.86K	-1.03%
2017年7月30日	6,225.12	6,214.66	6,313.51	6,208.46	554.47K	0.16%
2017年7月23日	6,215.46	6,121.33	6,229.06	6,105.96	465.75K	1.46%
2017年7月16日	6,126.11	6,108.45	6,136.97	5,842.96	457.96K	-0.04%
2017年7月9日	6,128.74	6,221.53	6,236.29	6,050.65	388.46K	-1.56%
2017年7月2日	6,226.01	6,142.17	6,229.83	6,127.51	357.76K	1.43%
2017年6月25日	6,138.16	6,013.48	6,139.07	6,011.86	304.20K	2.13%
2017年6月18日	6,010.31	6,010.94	6,094.55	5,923.55	314.82K	-0.04%
2017年6月11日	6,013.00	5,943.64	6,027.40	5,894.23	303.62K	0.73%
2017年6月4日	5,969.63	5,778.19	5,972.73	5,777.95	306.40K	3.41%
2017年5月28日	5,773.03	5,887.94	5,913.18	5,655.76	177.63K	-1.10%
2017年5月21日	5,837.04	5,962.29	5,987.31	5,668.72	313.88K	-2.32%
2017年5月14日	5,975.49	5,880.70	6,055.92	5,839.22	311.43K	1.89%
2017年5月7日	5,864.44	6,076.46	6,083.36	5,731.48	314.30K	-3.70%
2017年4月30日	6,089.90	6,205.10	6,236.89	6,089.09	291.73K	-1.96%
2017年4月23日	6,211.86	6,282.33	6,282.74	6,052.88	361.30K	-1.41%
2017年4月16日	6,300.71	6,500.95	6,502.04	6,285.99	394.76K	-3.48%
2017年4月9日	6,527.81	6,575.46	6,632.00	6,522.79	529.66K	-0.78%
2017年4月2日	6,579.08	6,450.90	6,593.95	6,450.90	295.08K	2.76%
2017年3月26日	6,402.17	6,545.45	6,555.79	6,365.45	392.96K	-2.21%
2017年3月19日	6,546.62	6,484.54	6,552.75	6,445.81	353.37K	0.97%
2017年3月12日	6,483.69	6,444.56	6,555.58	6,412.71	322.65K	0.55%
2017年3月5日	6,448.39	6,457.59	6,525.19	6,425.00	319.48K	-0.07%
2017年2月26日	6,453.19	6,476.38	6,488.82	6,398.88	345.07K	-0.36%
2017年2月19日	6,476.19	6,307.23	6,482.25	6,307.23	406.18K	2.68%
2017年2月12日	6,307.22	6,341.73	6,379.79	6,300.51	398.07K	-0.48%
2017年2月5日	6,337.45	6,206.54	6,350.34	6,195.50	312.67K	2.10%
2017年1月29日	6,207.40	6,227.46	6,231.60	6,190.83	35.54K	-0.26%
2017年1月22日	6,223.71	6,130.44	6,224.19	6,130.20	184.03K	1.66%
2017年1月15日	6,122.34	6,184.13	6,184.34	5,872.40	265.78K	-1.17%
2017年1月8日	6,194.72	6,365.39	6,428.83	6,182.10	302.08K	-2.77%
2017年1月1日	6,371.35	6,273.82	6,412.87	6,273.75	241.66K	1.71%
2016年12月25日	6,264.02	6,260.34	6,311.04	6,194.27	244.25K	-0.29%
2016年12月18日	6,282.37	6,319.86	6,350.27	6,275.31	303.93K	-0.58%
2016年12月11日	6,318.73	6,512.96	6,519.63	6,190.39	355.86K	-3.00%
2016年12月4日	6,513.97	6,462.26	6,562.66	6,451.08	294.45K	-0.11%
2016年11月27日	6,521.23	6,667.27	6,692.14	6,520.97	437.63K	-1.98%
2016年11月20日	6,652.80	6,597.17	6,676.67	6,531.37	447.41K	0.76%
2016年11月13日	6,602.76	6,568.66	6,658.43	6,566.05	493.06K	0.29%
2016年11月6日	6,583.86	6,461.00	6,584.41	6,380.57	430.31K	1.87%
2016年10月30日	6,463.01	6,441.43	6,521.00	6,408.27	343.28K	0.10%
2016年10月23日	6,456.40	6,479.55	6,563.52	6,455.15	388.66K	-0.30%
2016年10月16日	6,475.80	6,478.51	6,531.16	6,394.49	359.22K	0.09%
2016年10月9日	6,469.66	6,364.52	6,501.56	6,345.33	353.63K	2.24%
2016年9月25日	6,328.10	6,363.93	6,364.21	6,200.57	273.33K	-0.67%
2016年9月18日	6,370.58	6,292.81	6,410.57	6,292.81	285.33K	1.47%
2016年9月11日	6,278.16	6,362.77	6,383.84	6,260.65	217.00K	-2.98%
2016年9月4日	6,471.05	6,372.62	6,539.35	6,345.69	396.59K	1.79%
2016年8月28日	6,356.95	6,409.12	6,459.71	6,320.48	335.22K	-0.84%
