2017年11月26日	5,145.21	5,062.85	5,155.44	5,062.85	-	1.60%
2017年11月19日	5,064.23	5,024.01	5,064.23	5,024.01	-	0.93%
2017年11月12日	5,017.45	5,025.36	5,030.48	4,987.96	-	-0.06%
2017年11月5日	5,020.31	5,034.30	5,040.74	5,020.31	-	-0.14%
2017年10月29日	5,027.49	4,997.15	5,027.49	4,997.15	-	0.29%
2017年10月22日	5,012.75	4,981.37	5,012.75	4,966.29	-	0.23%
2017年10月15日	5,001.11	4,966.05	5,001.11	4,966.05	-	0.88%
2017年10月8日	4,957.27	4,940.16	4,960.79	4,940.16	-	0.17%
2017年10月1日	4,949.09	4,906.92	4,952.85	4,906.92	-	1.25%
2017年9月24日	4,887.97	4,842.41	4,887.97	4,842.41	-	0.72%
2017年9月17日	4,853.20	4,856.08	4,864.61	4,849.95	-	0.09%
2017年9月10日	4,848.84	4,822.80	4,848.84	4,822.80	-	1.63%
2017年9月3日	4,771.02	4,762.75	4,777.93	4,762.75	-	-0.58%
2017年8月27日	4,798.99	4,733.97	4,798.99	4,733.97	-	1.43%
2017年8月20日	4,731.46	4,701.82	4,748.73	4,701.82	-	0.75%
2017年8月13日	4,696.22	4,771.43	4,778.28	4,696.22	-	-0.58%
2017年8月6日	4,723.73	4,797.13	4,797.13	4,717.40	-	-1.37%
2017年7月30日	4,789.11	4,774.56	4,789.54	4,774.56	-	0.23%
2017年7月23日	4,778.02	4,773.10	4,788.41	4,773.10	-	-0.00%
2017年7月16日	4,778.07	4,751.33	4,780.25	4,751.33	-	0.56%
2017年7月9日	4,751.43	4,689.25	4,751.43	4,685.64	-	1.42%
2017年7月2日	4,684.88	4,689.61	4,697.34	4,655.02	-	0.14%
2017年6月25日	4,678.36	4,707.27	4,711.33	4,669.27	-	-0.58%
2017年6月18日	4,705.73	4,734.48	4,734.48	4,698.40	-	0.22%
2017年6月11日	4,695.23	4,685.54	4,707.88	4,685.54	-	0.12%
2017年6月4日	4,689.79	4,697.00	4,697.00	4,683.96	-	-0.27%
2017年5月28日	4,702.56	4,650.76	4,702.56	4,649.34	-	1.01%
2017年5月21日	4,655.65	4,612.12	4,655.65	4,612.12	-	1.47%
2017年5月14日	4,588.35	4,625.52	4,625.52	4,540.58	-	-0.32%
2017年5月7日	4,602.96	4,615.73	4,618.19	4,602.96	-	-0.26%
2017年4月30日	4,615.09	4,592.78	4,615.09	4,592.78	-	0.66%
2017年4月23日	4,584.82	4,564.93	4,593.57	4,564.93	-	1.53%
2017年4月16日	4,515.90	4,515.65	4,529.65	4,495.56	-	0.87%
2017年4月9日	4,477.07	4,530.57	4,530.57	4,477.07	-	-1.11%
2017年4月2日	4,527.20	4,530.98	4,534.25	4,520.86	-	-0.24%
2017年3月26日	4,538.21	4,496.53	4,548.46	4,496.53	-	0.82%
2017年3月19日	4,501.11	4,557.12	4,557.12	4,500.98	-	-1.42%
2017年3月12日	4,566.17	4,556.44	4,579.44	4,541.26	-	0.28%
2017年3月5日	4,553.28	4,556.72	4,556.72	4,534.68	-	-0.40%
2017年2月26日	4,571.60	4,544.51	4,595.73	4,532.93	-	0.71%
2017年2月19日	4,539.25	4,533.46	4,539.25	4,528.97	-	0.73%
2017年2月12日	4,506.20	4,459.83	4,506.20	4,459.83	-	1.60%
2017年2月5日	4,435.42	4,387.67	4,435.42	4,387.67	-	0.87%
2017年1月29日	4,396.95	4,363.67	4,396.95	4,359.81	-	0.16%
2017年1月22日	4,389.85	4,333.10	4,396.57	4,333.10	-	1.04%
2017年1月15日	4,344.67	4,337.20	4,345.57	4,329.96	-	-0.13%
2017年1月8日	4,350.11	4,338.62	4,351.32	4,338.62	-	-0.09%
2017年1月1日	4,354.05	4,315.08	4,354.05	4,315.08	-	1.76%
2016年12月25日	4,278.66	4,334.93	4,334.93	4,278.66	-	-1.08%
2016年12月18日	4,325.17	4,321.02	4,337.36	4,319.33	-	0.30%
2016年12月11日	4,312.40	4,308.94	4,337.86	4,302.93	-	-0.03%
2016年12月4日	4,313.60	4,207.57	4,313.60	4,207.57	-	3.13%
2016年11月27日	4,182.81	4,199.39	4,205.99	4,181.15	-	-0.91%
2016年11月20日	4,221.02	4,191.68	4,221.02	4,191.68	-	1.45%
2016年11月13日	4,160.58	4,123.81	4,169.87	4,123.81	-	0.89%
2016年11月6日	4,123.69	4,058.30	4,129.46	4,058.30	-	3.87%
2016年10月30日	3,970.02	4,045.89	4,045.89	3,970.02	-	-1.89%
2016年10月23日	4,046.36	4,093.22	4,093.22	4,046.36	-	-0.67%
2016年10月16日	4,073.85	4,045.07	4,079.50	4,045.07	-	0.41%
2016年10月9日	4,057.28	4,115.12	4,115.12	4,056.45	-	-0.95%
2016年10月2日	4,096.25	4,108.13	4,109.49	4,088.17	-	-0.60%
2016年9月25日	4,121.06	4,077.71	4,126.83	4,077.71	-	0.20%
2016年9月18日	4,112.69	4,063.94	4,136.41	4,063.94	-	1.20%
2016年9月11日	4,063.97	4,099.47	4,099.47	4,037.83	-	0.59%
2016年9月4日	4,039.95	4,150.11	4,150.51	4,039.95	-	-2.36%
2016年8月28日	4,137.70	4,136.75	4,137.70	4,120.17	-	0.56%
2016年8月21日	4,114.68	4,139.97	4,148.17	4,114.68	-	-0.67%
2016年8月14日	4,142.23	4,151.69	4,151.69	4,129.68	-	0.06%
2016年8月7日	4,139.63	4,131.19	4,142.72	4,122.65	-	0.12%
2016年7月31日	4,134.56	4,109.28	4,134.56	4,083.25	-	0.49%
2016年7月24日	4,114.51	4,104.13	4,114.51	4,100.81	-	-0.05%
2016年7月17日	4,116.50	4,100.40	4,116.50	4,094.61	-	0.64%
2016年7月10日	4,090.49	4,043.49	4,094.28	4,043.49	-	1.51%
2016年7月3日	4,029.75	3,949.72	4,029.75	3,949.72	-	1.33%
2016年6月26日	3,976.68	3,781.02	3,976.68	3,781.02	-	3.27%
2016年6月19日	3,850.70	3,936.91	3,994.18	3,850.70	-	-1.62%
2016年6月12日	3,914.15	3,927.73	3,927.73	3,914.02	-	-1.12%
2016年6月5日	3,958.68	3,982.74	4,001.98	3,958.68	-	-0.11%
