2018年10月21日	6,852.40	7,146.03	7,193.72	6,743.77	1.19B	-3.59%
2018年10月14日	7,107.23	7,129.31	7,311.85	7,047.47	918.90M	-0.70%
2018年10月7日	7,157.21	7,356.54	7,430.36	6,892.89	1.15B	-3.27%
2018年9月30日	7,399.01	7,673.00	7,700.56	7,327.44	822.64M	-3.00%
2018年9月23日	7,627.65	7,477.45	7,657.80	7,447.23	828.76M	1.28%
2018年9月16日	7,531.07	7,522.59	7,603.86	7,427.79	1.14B	-0.19%
2018年9月9日	7,545.50	7,466.76	7,581.30	7,401.72	790.90M	1.55%
2018年9月2日	7,430.26	7,629.34	7,643.45	7,400.99	723.80M	-2.93%
2018年8月26日	7,654.55	7,527.37	7,691.10	7,512.02	696.78M	2.26%
2018年8月19日	7,485.40	7,393.57	7,489.54	7,343.47	656.32M	1.46%
2018年8月12日	7,377.54	7,420.18	7,468.82	7,308.52	799.51M	-0.42%
2018年8月5日	7,408.30	7,390.81	7,498.37	7,381.58	687.13M	0.17%
2018年7月29日	7,395.49	7,292.72	7,395.49	7,158.78	860.86M	1.35%
2018年7月22日	7,296.78	7,335.42	7,511.39	7,255.32	868.30M	-0.73%
2018年7月15日	7,350.23	7,381.03	7,418.43	7,288.30	764.47M	-0.35%
2018年7月8日	7,375.82	7,251.18	7,387.74	7,220.23	720.23M	2.34%
2018年7月1日	7,207.33	6,979.54	7,217.00	6,969.16	555.00M	2.37%
2018年6月24日	7,040.80	7,131.05	7,144.28	6,950.23	944.23M	-2.18%
2018年6月17日	7,197.51	7,201.18	7,309.99	7,138.02	969.20M	-0.80%
2018年6月10日	7,255.76	7,149.65	7,291.31	7,146.09	1.08B	1.44%
2018年6月3日	7,152.62	7,099.50	7,212.45	7,099.09	776.25M	0.97%
2018年5月27日	7,083.93	6,928.49	7,084.84	6,887.12	750.92M	1.77%
2018年5月20日	6,960.92	6,920.32	6,982.52	6,846.94	707.00M	1.38%
2018年5月13日	6,866.25	6,977.35	7,008.26	6,852.73	771.53M	-1.24%
2018年5月6日	6,952.56	6,803.45	6,969.30	6,770.30	806.38M	2.71%
2018年4月29日	6,769.12	6,669.44	6,783.36	6,539.86	896.49M	1.69%
2018年4月22日	6,656.35	6,699.16	6,750.78	6,426.57	911.79M	-0.17%
2018年4月15日	6,667.75	6,675.92	6,856.96	6,633.08	786.09M	0.59%
2018年4月8日	6,628.34	6,488.48	6,703.31	6,466.04	787.73M	3.03%
2018年4月1日	6,433.21	6,528.23	6,632.21	6,322.60	1.02B	-2.25%
2018年3月25日	6,581.13	6,644.40	6,793.50	6,410.04	958.13M	1.12%
2018年3月18日	6,508.09	6,945.97	6,949.02	6,507.84	1.02B	-7.29%
2018年3月11日	7,019.95	7,122.47	7,186.09	7,010.01	1.08B	-1.14%
2018年3月4日	7,101.18	6,777.63	7,101.31	6,753.83	857.63M	4.26%
2018年2月25日	6,811.04	6,933.82	7,003.14	6,645.03	983.64M	-1.24%
2018年2月18日	6,896.60	6,742.15	6,897.53	6,740.48	637.97M	1.86%
2018年2月11日	6,770.66	6,477.04	6,840.60	6,424.30	957.04M	5.58%
